Shipper,Consignee,Shipments,Tons,BOL_Count
Margaritaville At Sea Islander,Hellmann Worldwide Logistics,5,1.13,5
M V Robin 2 V04 N,Wilhemsen,3,1.13,3
Baker Hughes Trinidad Ltd.,Bhi Wh4 R Tomball Div Of Bh Oilfield,1,1.13,1
Schlumberger Trinidad Inc.,Entech Supply Llc.,1,1.13,1
Cacique International,Eckard Enterprised,1,1.13,1
Passerine At Abaco Holding,Custom Fenestration Products Intern,1,1.13,1
Celebrity Cruises Ltd.,Vistana Cruise Event Group,3,1.13,3
Hq Hsc Mco Malaysia,Navy Exchange Service Center,1,1.13,1
Princess Cruises,Princess Cuises Fdc Warehouse,1,1.13,1
Ssab Oxelosund Ab,Alabama Plate Cutting Co Inc.,2,1.12,2
Sky Overseas,Earthbound Holding Llc Dba Earthbou,1,1.12,1
Carnival Cruise Lines,Applied Cooling Technology Llc,2,1.12,2
Ssab Oxelosund Ab,Mid Canada Transload Services Ltd.,2,1.12,2
Port Cargo & Logistics Llc,Allport Cruise Services,2,1.12,2
Machimpex Ningbo Limited,Tea Butler Canada Imp. Ltd.,1,1.12,1
Ncl (Bahamas Ltd.),Wartsila Funa Internatinal Ftl,1,1.12,1
As Svenja Schiffartsgesellschaft,Marinetrans Usa Llc,1,1.12,1
Ledesma Pea Distributor Srl,Advanced Wholesale Distributors Co.,2,1.12,2
Rs Clare,Loran Gulf Coast Holding Co.,1,1.12,1
Carnival Cruise Lines,Wartsila North America,1,1.12,1
"Hillwealth Multinational Pte., Ltd.",Ralph Lauren Canada Lp,1,1.12,1
M V Radiance Ots,M V Jewel Ots,1,1.12,1
Deartis Lda,Aromatic Fillers Llc,1,1.11,1
Master Of Cable Innovator,Global Marine Systems Ltd.,21,1.11,21
Clipper Shipping As,Whilhemsen Ship Services,8,1.11,8
"Thai Fine Sinter Co., Ltd.",Kal America Inc.,1,1.11,1
Ligne Perfecte,Vive Hermosa Salon Llc,1,1.11,1
"Car Junction Co., Ltd.",Pocholo Navarra,1,1.11,1
Ncl (Bahamas Ltd.),Florida Electric Motor Co Of Miami,6,1.1099999999999999,6
Sabiana Sp A,Nortek Global Hvac,2,1.1,2
Msc Seashore,Leroy Delgado (Api Representative),2,1.1,2
Virgin Voyages,South Seneca Storage,2,1.1,2
Ncl (Bahamas Ltd.),Ian Mansell Applied Cooling Techno,2,1.1,2
"Korea Marine Engineering Co., Ltd.",Horizon International Cargo I,1,1.1,1
Bernhard Schulte Shipmanagement,Marinetrans Usa Llc,4,1.1,4
Carnival Cruise Lines,Wilhelsemn Ship Service Inc.,2,1.1,2
Ntk Europe Sp A,Parker Hannifin Hcs Div,1,1.1,1
"Taiyo Electric Co., Ltd.",24 7 Ship Spares Inc.,2,1.1,2
Honor Winter Sea Ltd.,Whilhemsen Ship Services,1,1.1,1
Nutra Organics (Pty) ) Ltd.,Kroma Superfoods Pbc,1,1.1,1
Emelanio Ramirez,Puerto Rico Asphalt,4,1.1,4
Ncl (Bahamas Ltd.),Mtn,5,1.1,5
Barnidom Srl,Manitoa Cosntruction Inc.,4,1.1,4
Industrias De Fibras Dominicanas,Jema Corporation,4,1.1,4
Viking Ocean Cruises,Ecolab Inc.,1,1.1,1
Ncl (Bahamas Ltd.),Claa Ketchikan,1,1.1,1
Carnival Cruise Lines,Marioff Corparation,1,1.1,1
Carnival Cruise Lines,Warsila Canada Inc.,1,1.1,1
Mversal Packing Srl,Los G4 Merch Llc.,4,1.1,4
Princess Cruises,Cm Contract,4,1.1,4
Adcom World Wide,Royal Princess,10,1.1,10
Cruise Yacht Opco Ltd.,Elan Artists Ltd.,1,1.1,1
Carnival Cruise Lines,Maggiali,2,1.1,2
Virgin Voyages,Nms Inc.,1,1.09,1
Rolos Dominicanos S.A,Alco High Tech Plastic Inc.,5,1.09,5
Virgin Voyages,World Resort Bimini,1,1.09,1
Vvmv Jsc,Jet Sea International Shipping Inc.,1,1.09,1
Carnival Cruise Lines,Sove Srl,2,1.09,2
Ncl (Bahamas Ltd.),Tuttle Tile & Marble,1,1.09,1
Carnival Cruise Lines,Via Trieste 13,1,1.08,1
Disinsa Sa,Alco High Tech Plastics,4,1.08,4
Serigraf S.A.,Sony Puerto Rico Inc.,2,1.08,2
Scandiloc A S,Vestas Nacelles America Inc.,1,1.08,1
Disinsa Sa,Alco High Tech Plastic Inc.,4,1.08,4
Impexport Surl,Las Americas Travel Cargo And,1,1.08,1
Carnival Cruise Lines,Light & Wonder,16,1.08,16
Gardet Champagne,Gwa (Bvi) Ltd.,2,1.08,2
"Shanghai Forest Packing Co., Ltd.",Lys Beauty,1,1.08,1
Mtu Maintenance Hannover Gmb H,Pratt & Whitney Dallas Distributi,2,1.08,2
Nirvana Explorer,Winnipeg,5,1.08,5
Asp Ships Management,Survitec Safety Solutions Us Llc,2,1.08,2
Carnival Cruise Lines,Ring Power Corp.,2,1.08,2
Coral Princess,Technical Distribution Center,1,1.07,1
Carnival Cruise Lines,Ellevi Srl,1,1.07,1
M V Enchantment Of The Seas,Hempel (Usa) Inc.,1,1.07,1
Rk Industries Iv (Branch Code 2),Ralph Lauren Corp.,1,1.07,1
Fori Korea Ltd.,Hyundai Motor Group Metaplant Ame,1,1.07,1
Zschimmer & Schwarz Gmb H & Co Kg.,Zschimmer & Schwarz Interpolymer I,1,1.06,1
Shriram Foundry Ltd.,Harvester Lsc Main,1,1.06,1
Mt Oslo Bulk 1,Mshs,2,1.06,2
Labara S.R.O.,Tamura Corp. Of America,1,1.06,1
Ncl (Bahamas Ltd.),Kerry Brands,7,1.06,7
M V Matson Maui,Wilhelmsen Ship Services,1,1.06,1
Oceanus Maritime Servicess,Oceanus Maritime Servicess,18,1.06,18
"Jet 8 Co., Ltd.",Deep Ocean Resources Development Co.,2,1.06,2
Crusher Consumables Ltd.,New England Mobile Crushing Inc.,2,1.06,2
Lgg Tools,Pareto Aluminium System Llc,1,1.06,1
Croisieres Antilles Sxm,The Cruise Club Bvi,2,1.06,2
Magic Mountian Parkway,Adcom Worldwide Inc.,3,1.06,3
Hillebrand Gori France Sas,Mhw Ltd.,1,1.05,1
"Olympic Country Co., Ltd.",Merit Automotive Electronics System,1,1.05,1
Ncl (Bahamas Ltd.),Wilhelmsen Ships Services,3,1.05,3
Magic Mountian Parkway,Wartsila North America Inc.,3,1.05,3
"Rilong Technology (Shenzhen) Co., Ltd.",Scanfil Inc.,1,1.05,1
Archroma Mexico,Archroma Colombia Sas,1,1.05,1
"Apex Controls Co., Ltd.",Tylok International,1,1.05,1
Mgi Llc,West End Car Rental,1,1.05,1
Tronox France Sas,Basf Environmental Catalyst And Met,1,1.05,1
G Trading Inc.,Dream Factory Garage Llc,1,1.05,1
Frabel Sa De Cv,Loreal Uruguay Sa,1,1.04,1
Ncl (Bahamas Ltd.),James Durbin & The Lost Boys,1,1.04,1
Princess Cruises,Hvacon Marine Systems,2,1.04,2
"Cosmo Japan Co., Ltd.",Island Pennies Rentals & Sales,1,1.04,1
Ritrama,Intl Graphics,2,1.04,2
Master Msc Pina,Master Msc Pamela,2,1.04,2
Seaspan Ship Management Ltd.,Drew Marine,1,1.04,1
Seletar Spirit,Whilhemsen Ship Services,2,1.04,2
Virgin Voyages,Horizon Air Freight Of Florida,5,1.04,5
Majestic Princess,Wilhelmsen Marine Products,2,1.04,2
Freeport Container Port Ltd.,Advanced Supply Concepts,2,1.04,2
A 9 Trucking,A 9 Trucking,2,1.04,2
M V Star Hansa,Wrist North America,1,1.03,1
Manpower Scrap Metal,Allied Metals Llc,1,1.03,1
Carnival Cruise Lines,Magic Ventures,1,1.03,1
Franz Fischler Gmb H & Co. Kg,Architectural Stairways Inc.,1,1.03,1
Carnival Cruise Lines,Acal Warehouse,1,1.03,1
Carnival Cruise Lines,Torkworx,8,1.03,8
Destination Jiu Jitsu,Club Med Ixtapa,1,1.03,1
Virgin Voyages,Wilhemsen Ship Life Rafts Inc. Of Pr,2,1.03,2
Ncl (Bahamas Ltd.),Emos Not Dead,1,1.03,1
An Brothers International,Sur Le Pont,1,1.03,1
Fabie Sas,White Toque Inc.,1,1.02,1
Norbulk Shipping Uk Ltd.,Viking Life Saving Equipment Inc.,2,1.02,2
Plaza Central Cinemas Srl .,Cinema Management Of Puerto Rico In,2,1.02,2
Phoenix Bulk Carriers,Viking Life Saving Equipment Inc.,2,1.02,2
Fema Warehouse,Fema Ponce Warehouse,4,1.02,4
Royal Caribbean Cruise,Creative Group Group,2,1.02,2
Smt Shipping (Cyprus) Ltd.,O.E. Durant Ship Chandler,6,1.02,6
"Gs Ship Management Pvt., Ltd.",Survitec Safety Solutions Us Llc,2,1.02,2
Barber Ship Management Germany Gmb H,Survitec Safety Solutions Us Llc,2,1.02,2
Apply Carbon,Ensinger Special Polymers Inc.,1,1.02,1
Nabors Drilling International,Nabors Drilling International Ltd.,1,1.02,1
Parker Hannifin European Sarl,Sumitomo (Shi) Plastics Machinery,1,1.02,1
Regent Seven Seas,Regent Seven Seas,29,1.02,29
Webber Italia Srl,Webber Italia Srl,2,1.02,2
M V Cadiz Knutsen V 21,Whilhemsen Ship Services,2,1.01,2
Jst Indonesia,Jst Corp,1,1.01,1
Royal Caribbean Cruise,Gacucon Group,2,1.01,2
M V Avenir Achievement,Wartsila North America Inc.,2,1.01,2
Msc Seascape,High Seas Trading Co.,5,1.01,5
Royal Caribbean Cruise,Tops Vaccum And Sewing Group,1,1.01,1
Ncl (Bahamas Ltd.),Full Sail Marine,1,1.01,1
"Schneider Electric India Pvt., Ltd.",Schneider Electric Usa,1,1.01,1
"January International Trade Co., Ltd.",Jewish Educational Toys,1,1.01,1
Carnival Cruise Lines,Direct Delivery Logistics & Supply,4,1.01,4
Street Furniture Australia (Pty) ) . Ltd.,Yellowbox Collective,1,1.01,1
Seatrade Groningen,North American General Agents,1,1.0,1
M F Productions,Hb Usa Holdings Inc.,1,1.0,1
Perennials Textiles De Mexico S De,Crivellari Divani E Poltrone Srl,1,1.0,1
Unit International,Emirates Aluminium (EGA),2,1.0,2
Alvaro Luis Marte Rosa,Cupey Alto Ice Plant Llc,2,1.0,2
Virgin Voyages,Dnv Se Dnv Envilab,2,1.0,2
Oceania Cruise Lines,Clean Harbors Env S Plainfield,1,1.0,1
Ncl (Bahamas Ltd.),Allport Cruise Services,1,1.0,1
"Texray (Vn) Co., Ltd.",New Wave,1,1.0,1
Gaschem Orca,Alpha Mar Imw,1,1.0,1
Willenbrock Fahrzeugbau Gmb H,Shepard Van Llc,1,1.0,1
Msc Seascape,D2 Marine Solutions Inc.,1,1.0,1
Viros Pack Export S.L.,L'oreal Usa Products Inc.,2,1.0,2
Princess Cruises,Scan Lobal Logistics,1,1.0,1
Ruby Princess,Bc Service Inc.,1,1.0,1
Carnival Cruise Lines,Rgc Usa,1,1.0,1
Hef Durferrit,Calico Coatings,1,1.0,1
Mt Eagle Tampa,Universal Marine Electric Inc.,4,1.0,4
Princess Cruises,Scan Global Logistics Sfo,3,1.0,3
Alberto Hernandez Pabon,Tonu Retail Onvestment Llc.,2,1.0,2
Guangxi Longsheng Huamei Talc,Magris Talc Usa Inc. 17509 Van Road,1,1.0,1
Mt Irini,Survitec Group,1,1.0,1
Padilla,Trigo Corp,2,1.0,2
Ncl (Bahamas Ltd.),Iaq Technologies Inc.,1,1.0,1
Energy Endeavour,Kobe Steel Ltd.,2,1.0,2
Wilhelmsen Ahrenkiel Ship Managemen,Straightline Logistics For Delivery,1,1.0,1
Bob Lynch Moving And Storage I,Rodi Cargo International Group,2,1.0,2
Jungerhans Maritime,Motor Services Hugo Stamp Inc.,1,1.0,1
"Be Forward Co., Ltd.",Crystal Nottage,1,1.0,1
Ncl (Bahamas Ltd.),Clean Harbors Env,1,1.0,1
Hef Durferrit,Hef Usa,1,1.0,1
Marvel Heron V. 017 B,Marvel Eagle,2,1.0,2
Viking Ocean Cruises,Viking Life Saving Equipment Inc.,1,1.0,1
Del Zotto Products Ltd.,Del Zotto Products Of Florida,1,1.0,1
Msc Seascape,White Rabbit Acres,17,1.0,17
Coral Princess,Trident Bmc,1,1.0,1
Silver Nova,Wilhelmsen Ships Serivces,2,1.0,2
Manitoba,Alfa Laval Vicarb,1,1.0,1
Haulotte Group,Haulotte Group Bil Jax,1,1.0,1
Port Cargo & Logistics Llc,Wartsila North America Inc.,1,1.0,1
Port Cargo & Logistics Llc,Wartsila,1,1.0,1
Master Amber Bay,Moran Shipping Agencies Inc.,2,1.0,2
Master,Navig8 America Llc,1,1.0,1
Mv Energy Glory V.009 B,Turbo Systems Us Inc.,1,1.0,1
Carnival Cruise Lines,Geodis,1,1.0,1
Carnival Cruise Lines,Suntyx Poggesi Co Acal Geodis,1,1.0,1
Schlumberger Trinidad Inc.,Emirates Aluminium (EGA),1,1.0,1
Arte Gelato Srl,E Latin Food Llc Zaguan Bakery,2,1.0,2
Bahamas Ferries,Yellow Deck Services Corp.,2,1.0,2
Ncl (Bahamas Ltd.),Ubersoca 2024 Cruise,1,1.0,1
Ncl (Bahamas Ltd.),Turbo Systems Us. Inc.,1,1.0,1
Carnival Cruise Lines,Lock N Stitch Inc.,2,1.0,2
Seapeak Marib,Wilhelmsen,2,0.99,2
M V Adam Lng V079 B,Wartsila North America Inc.,1,0.99,1
"Cwl Multinational Pte., Ltd.",Ralph Lauren Canada Lp,1,0.98,1
Carnival Cruise Lines,Digital Video Systems,2,0.98,2
La Aurora C Por A,Discount Liquors Wine Cellar,1,0.98,1
Krones Ag,Krones Inc. Tel 14144094000,1,0.98,1
Mv Horizon,Whilhemsen Ship Services,1,0.98,1
Forte Ind. E Com. De Artefatos Plas,Windgroup Holdings Llc,1,0.98,1
Hastens Beds Ab,Hastens Store Santa Fe Luxbedmex Sa,1,0.98,1
"Saru Silver Alloy Pvt., Ltd.",Abb Motors And Mechanical Inc.,1,0.98,1
Anglo Eastern (Germany) Gmb H,Marinetrans Usa Llc,6,0.98,6
Ncl (Bahamas Ltd.),Ralph Mercado Enterprises Llc,1,0.98,1
Pulltex Sl,Franmara Incorporpated,1,0.98,1
Mt Lngships Empress,Central Dispatch Inc.,1,0.97,1
Boehlerit Sa De Cv,Boehlerit Gmb H & Co. Kg,1,0.97,1
"Cosmo Japan Co., Ltd.",Platinum Disabilities Services,1,0.97,1
Dow Chemical Iberica S.L.,Boulder Scientific Co.,1,0.97,1
Rovelli Antonio Sp A,Grand Brass Lamp Parts Llc,1,0.97,1
Carnival Cruise Lines,M V Carnival Mircle,1,0.97,1
Ncl (Bahamas Ltd.),Take As Needed Llc Eyehategod,1,0.97,1
Hebei Guangde Precision Casting,Paris Industrial Services Inc.,1,0.97,1
Ncl (Bahamas Ltd.),Videlio Hms,25,0.97,25
Seaspan Empire,Cma Repair Llc,1,0.97,1
Msc Seashore,Wartsila North America Inc.,1,0.97,1
M V Lng Enterprise V 27 B,Norton Lilly International,2,0.97,2
"Fynex Longfly Garment Co., Ltd.",Jety Trading Inc.,1,0.97,1
Cma Cgm (America) Llc,Anl Ag Norton Lilly International,6,0.9600000000000001,6
Carnival Cruise Lines,Steelite International Warehouse,2,0.96,2
Gaslog Hong Kong,Maritime Endeavors Shipping Co.,2,0.96,2
Carnival Cruise Lines,Aerostream Usa Inc.,2,0.96,2
Al Tard Al Dhahabi Al Duwali,Mrsn Llc,1,0.96,1
Carnival Cruise Lines,Sure Logix,1,0.96,1
Hon Kwang Electric (Philippines) I,Ic Intracom Usa Inc.,1,0.96,1
Msc Magnifica,Fabrizio Canu Creative Workshop,1,0.96,1
Regent Seven Seas,Oceania Cruise Lines,4,0.96,4
Ncl (Bahamas Ltd.),Jetex Air Express Inc.,1,0.96,1
Reliance International Corp.,Fender Musical Instruments Corp.,1,0.96,1
Del Llano Alto Oleico Sas,Dao Trading Llc,1,0.96,1
Kalifood Distribution,Union Mini Amrt,2,0.96,2
Msc Divina,Williams International,2,0.9500000000000001,2
Magic Mountian Parkway,Logistic Department,6,0.95,6
Viking Ocean Cruises,Universal Marine Medical Supply,5,0.95,5
"Draeger Korea Co., Ltd.",Cczjv Gpx,1,0.95,1
Carnival Cruise Lines,Mapei,1,0.95,1
M T Nord Supreme,M T Nord Swift,1,0.95,1
Dicker Data Ltd.,Ingram Micro Mobility,1,0.95,1
Silver Shadow,Dauerflora Usa Inc.,1,0.95,1
Clean Cajun,Babcock International Group,1,0.95,1
"Hangzhou Flying Eagle Boat Co., Ltd.",Final 500 Llc,1,0.95,1
Inter Logistics Textile Supplies,Juny Car Covers Inc.,1,0.95,1
Oldenzaal Classics,Surf City Llc,1,0.95,1
Reederei Nord,Fillette Green Shipping Services,20,0.9400000000000001,20
Cortes Hermanos And Compania C. Por A.,Cortes Hermanos Llc,4,0.94,4
Toyota Tsusho Nexty Electronics,Intl Automated Brokers Inc.,1,0.94,1
Plc International Corp.,The Paperhouse Corp.,2,0.94,2
Carnival Cruise Lines,Mozzanica Workshop Refilling Center,2,0.94,2
Airbus Aerostructures Gmb H,Feam Aero,1,0.94,1
Pennel Et Flipo Sprl,Pennel Usa,1,0.94,1
Carnival Cruise Lines,Carnival Studios,29,0.94,29
"Be Forward Co., Ltd.",Rnr Rentals,1,0.94,1
Osl Group Ltd.,Proline Group Ltd. T A Proline Weldi,2,0.94,2
Siro Xavi Sl,Culinary Collective,2,0.94,2
Jiangsu Tongshun Power Technology C,The Toro Co.,1,0.93,1
Water Sewerage Corp.,All Ports,1,0.93,1
Defi Houilleres De Cruejouls,The Mustang Group Ltd.,1,0.93,1
Mv Bbc Kherson,Leda Logistik,1,0.93,1
Ever Green Carpets,Capel,1,0.92,1
Duelco A/S,Vestas Nacelles America Inc.,1,0.92,1
Kasthall Mattor & Golv Ab,Kasthall North America,2,0.92,2
Maersk Line A S,Man Energy Solutions Usa Inc.,2,0.92,2
Cosco Vietnam,Drew Marine Usa Inc.,1,0.92,1
Enterprises Shipping And Trading Sa,Whilhemsen Ship Services,3,0.92,3
S Reddish,Bermuda Boat Sale,2,0.92,2
Hennig France Sas,Trumpf Inc.,1,0.92,1
Quanta Computer Inc.,Quanta Cloud Technology Usa Llc,1,0.92,1
Gran Couva,Viking Life Saving Equipment Inc.,2,0.92,2
Serigraf S.A.,Editorial Plaza Mayor,2,0.92,2
Seacor Island Lines,Morton Salt,1,0.91,1
M V Dawn V 112,Global Support And Development,1,0.91,1
Bell Island Gordan Overing,Bimini Shipping Llc.,1,0.91,1
Mt Oslo Bulk 6,Flanders,1,0.91,1
Laboratoires Expanscience,Expanscience Laboratories,4,0.91,4
Bahamas Rental Services,Evenstar Structures,1,0.91,1
Crystal Cruises Ltd.,Crystal Cruises,2,0.91,2
Wfd 250,Enterrpise,1,0.91,1
Crowley Liner Services Inc.,Crowley Caribbean Services Llc,2,0.91,2
M T As Camellia,Norton Lilly International,1,0.91,1
"Davey Japan Co., Ltd.",Electro & Co.,1,0.91,1
Carnival Cruise Lines,Baymarine Services Ltd.,1,0.91,1
Aptiv Manufatura E Serv. De Distrib,Ford Dearborn Assemblyford Motor,1,0.91,1
Dokumental Gmb H & Co. Kg,Pentel Of America Ltd.,1,0.91,1
Wiwynn Corp. Tainan Branch,Wiwynn International Corp.,1,0.91,1
Danpumps A S,Hydrotec Inc.,1,0.91,1
Olympic Delta,Pxgeo Do Brasil Ltda,1,0.91,1
Fugro Trinidad,Marinetrans Usa Llc,2,0.9,2
M V Hellas Diana V23 B,Master Of Hellas Athina,1,0.9,1
Master Chemtrans Adriatic,Draaijer Turbo Service Bv,1,0.9,1
Master Of Cape Sable,"Hudong Heavy Machinery Co., Ltd.",1,0.9,1
Alberto Hernandez Pabon,Golden Imp. Corp.,2,0.9,2
Carnival Cruise Lines,All Port Facility,2,0.9,2
Independent Boat Yard,Proptech Caribbean Llc,2,0.9,2
Ncl (Bahamas Ltd.),Kabco,2,0.9,2
Cma Cgm (America) Llc,Air Sea Safety & Survival Inc.,2,0.9,2
Gaslog Seattle,Turbo Systems Usa Inc.,1,0.9,1
Msc Divina,Allport Cruise Services,1,0.9,1
A 9 Trucking,Mesa Trading Llc,2,0.9,2
Adcom World Wide,Wartsila Canada Incoporated,1,0.9,1
M V Green Warrior V. 104 Tc,Moran Shipping Agencies Inc.,2,0.9,2
Ncl (Bahamas Ltd.),Fruetec Technical Supply,4,0.9,4
Ecu Line Australia,Kanner Corp.,1,0.9,1
M T Nord Sustainable,Misakee Marine,1,0.9,1
Carnival Cruise Lines,Carnival Mardi Gras Shop Manager Harding Retail,1,0.9,1
Silver Dawn,Whilhemsen Ship Services,2,0.9,2
Mt Eagle Tampa,Wilhelmsen,6,0.9,6
Port Cargo & Logistics Llc,Park West Gallery,9,0.9,9
Ssab Oxelosund Ab,Spector Mfg. Inc.,2,0.9,2
Angels Spirit,Wilhelmsen,1,0.9,1
M V Iberica Knutsen V. 00322,Swos,1,0.9,1
Moran Shipping Agencies Inc.,Turbo Diesel Engineering,4,0.8999999999999999,4
Hellas Confidence Shipmanagement Sa,Whilhemsen Ship Services,2,0.8999999999999999,2
Duncha France Sas,Pure Power Technologies,1,0.89,1
Benzi & Di Terlizzi Srl,Benzi America Inc.,1,0.89,1
Hef Durferrit,Techniques Surfaces Usa,1,0.89,1
Princess Cruises,Wilhelmsen Ship Service,4,0.89,4
Tubos Deacero De Mexico,Galp Windoek Pel 28 B.V.,1,0.89,1
"Asmpt Smt Singapore Pte., Ltd.",Asmpt Smt Usa Llc,1,0.89,1
"Be Forward Co., Ltd.",Rs&Co Imp.,1,0.89,1
Carnival Cruise Lines,Citizen Pictures,1,0.89,1
Carnival Cruise Lines,Parkk Marine,2,0.8800000000000001,2
"Belships Mgmt (S) Pte., Ltd.",Survitec Safety Solutions Us Llc,2,0.88,2
Golden Helm Shipping Co. S.A.,Survitec Safety Solutions Us Llc,2,0.88,2
Master Of Aragonborg,Viking Life Saving Equipment Inc.,2,0.88,2
Ssab Emea Ab,R And S Godwin,2,0.88,2
Ab Maritime Inc.,Survitec Safety Solutions Us Llc,2,0.88,2
Four Seasons Resort,Reliablee Protection Llc,2,0.88,2
Hoegh Techinical Managment As,Marinetrans Usa Llc,1,0.88,1
Badeloft Gmb H,Badeloft Usa Llc,1,0.88,1
Pos Sm,Survitec Safety Solutions Us Llc,2,0.88,2
Ncl (Bahamas Ltd.),Poison The Well Llc,1,0.88,1
"Genco Synergy Pvt., Ltd.",Survitec Safety Solutions Us Llc,2,0.88,2
Master Of Warnowborg,Machinefabriek Bolier Bv,2,0.88,2
Tri Bulk Shipping Ltd.,Survitec Safety Solutions Us Llc,2,0.88,2
Conbulk Shipmnt Corp.,Survitec Safety Solutions Us Llc,2,0.88,2
Prent Americas Cr Srl,Edwards Lifesciences,1,0.88,1
Borealis Denizcilik A.S.,Survitec Safety Solutions Us Llc,2,0.88,2
"Masumoto Shipping Co., Ltd.",Survitec Safety Solutions Us Llc,2,0.88,2
Carnival Cruise Lines,Alfa Laval Aalborg,1,0.88,1
Equinox Maritime Ltd.,Survitec Safety Solutions Us Llc,2,0.88,2
Tamar Ship Management Ltd.,Survitec Safety Solutions Us Llc,2,0.88,2
"Tokyo Corp. Co., Ltd. Fukuoka",Survitec Safety Solutions Us Llc,2,0.88,2
"Synergy Navis Marine Pvt., Ltd.",Survitec Safety Solutions Us Llc,2,0.88,2
"First Marine Service Co., Ltd.",Survitec Safety Solutions Us Llc,2,0.88,2
Oceania Cruise Lines,Aerostream Usa Inc.,1,0.88,1
Bernh. Schulte Shipmanagement Deuts,Survitec Safety Solutions Us Llc,2,0.88,2
Densay Ship Management,Survitec Safety Solutions Us Llc,2,0.88,2
Ecocarriers Maritime Ltd.,Survitec Safety Solutions Us Llc,2,0.88,2
Dalex Shipping Co Sa,Survitec Safety Solutions Us Llc,2,0.88,2
"Chronos Shipping Co., Ltd.",Survitec Safety Solutions Us Llc,2,0.88,2
Kyla Shipping & Trading Corp.,Survitec Safety Solutions Us Llc,2,0.88,2
"Tamir Ship Management Pte., Ltd.",Survitec Safety Solutions Us Llc,2,0.88,2
Northern Marine Management,Survitec Safety Solutions Us Llc,2,0.88,2
"New Marion Pte., Ltd.",Survitec Safety Solutions Us Llc,2,0.88,2
Albro Navigation Co.,Survitec Safety Solutions Us Llc,2,0.88,2
Saint Michael Shipping,Survitec Safety Solutions Us Llc,2,0.88,2
M V Sterling Freia Sterling Freia L,Survitec Safety Solutions Us Llc,2,0.88,2
Anglo Eastern Shipmanagement Pte,Survitec Safety Solutions Us Llc,2,0.88,2
Load Line Marine S.A.,Survitec Safety Solutions Us Llc,2,0.88,2
Osm Thome,Survitec Safety Solutions Us Llc,2,0.88,2
New Horizon Ferry Service Ltd.,Liferafts Inc.,2,0.88,2
"Nsk Ship Management Pvt., Ltd.",Survitec Safety Solutions Us Llc,2,0.88,2
Buckeye Bahamas Hub Ltd.,Hmt Inspection,3,0.88,3
Cetus Maritime (Shanghai) Ltd.,Survitec Safety Solutions Us Llc,2,0.88,2
Kassian Maritime,Survitec Safety Solutions Us Llc,2,0.88,2
M V Diamond Gas Crystal,Turbo Systems Usa Inc.,2,0.88,2
"Thome Shipping Pte., Ltd.",Survitec Safety Solutions Us Llc,2,0.88,2
Tradelinens Ltd.,The Beverly Hills Hotel,1,0.88,1
Aquaspersions Ltd.,Aquaspersions North America Ltd.,2,0.88,2
Carboflotta Sp A,Marinetrans Usa Llc,3,0.8700000000000001,3
Oceania Cruise Lines,Rgb Elect. Svcs & Supplies Inc.,3,0.87,3
Fook Wah Kun Kee Knitting Fty. Ltd.,Volcom Inc.,1,0.87,1
M V Robin 2 V04 N,Whilhemsen Ship Services,4,0.87,4
"Eight Tool Co., Ltd.",Eight Tool America Dp Brandel,1,0.87,1
Bieri Hydraulik Ag,American Sterilizer Co.,1,0.87,1
Princess Cruises,Pacific Adventure Attn Tech Dep,3,0.8600000000000001,3
Siegwerk Switzerland Ag,Siegwerk,1,0.86,1
Envio Mau Eirl,Cmrb Llc Ein,2,0.86,2
Mt Qogir,Houston Ang Turbo System Us Inc.,1,0.86,1
Future Electronics Inc. (Dist.) Pte,Future Electronics,1,0.86,1
Ucm Holland,Bay Crane Service Inc.,1,0.86,1
Schiffahrtskontor Tom Woerden Gmb H,Marinetrans Usa Llc,8,0.86,8
Tidewater Mexico,Whilhemsen Ship Services,1,0.86,1
Norbulk Shippig Uk Ltd.,Marinetrans Usa Llc,2,0.86,2
Ncl (Bahamas Ltd.),The Delivery People,4,0.86,4
Ncl (Bahamas Ltd.),Man Energy Solutions Primeserv,2,0.86,2
Caribbean Trading,The Market Stx,2,0.86,2
Carisbrooke Shipping,Ajs Marine Shipping Solutions,2,0.86,2
Mt Ladon,Pleiades Shipping Agents Sa,5,0.8500000000000001,5
M V Bw Brussels V 36,Wilhelmsen Port Services Inc.,1,0.85,1
Master Hellas Voyager,Moran Gulf Shipping Agencies,1,0.85,1
Mv Nh Siri,Bulbous Environmental & Logistics,1,0.85,1
Carnival Cruise Lines,Build A Bear World Headquarters,9,0.85,9
Ncl (Bahamas Ltd.),Onate Framing,1,0.85,1
Ncl (Bahamas Ltd.),Ocean Quay Terminal,1,0.85,1
Mt Amberjack Lng,Houston Ang Turbo System Us Inc.,1,0.85,1
Carnival Cruise Lines,Shell Eastern Trading,1,0.85,1
Bahamas Ferries,Poseidon Marine Llc,1,0.85,1
Securon (Amersham) Ltd.,Grammer Inc.,1,0.85,1
Carnival Cruise Lines,Trilogy Med Waste,8,0.85,8
Seabourn Quest,Radiant Global Logistics Inc.,2,0.85,2
Abt Products Ltd.,Truck Crane Solutions,1,0.85,1
Master Of Trancura,Wilhelmsen Supply,2,0.85,2
Bikes4 You Srl,Otp Corp.,4,0.8400000000000001,4
F Tech Inc.,Dyna Mig A Division Of F&P Mfg.,1,0.84,1
Kraff S.L.,Federal Mogul Powertrain,1,0.84,1
