Entity_Name,Port_of_Loading,Port_of_Discharge,HS2,HS4,Total_Tons,Shipment_Count,Goods_Keywords,Confidence_Score
BP,"Vancouver, BC, Canada","Port of Bellingham, Bellingham, Washington",27.0,2710.0,128444.28,8,"HIGH SULFUR FUEL OIL, 77, 055. 24 BBLS 199, 092. 901 BBLS ULSD FOREIGN RETAINED ONBOARD BULK HIGH SULFUR FUEL OIL, 77, 363. 39 BBLS 199, 092. 901 BBLS ULSD FOREIGN RETAINED ONBOARD 153, 612. 60 BBLS SYNCRUDE 60, 324. 62 BBLS SYNCRUDE HIGH SULFUR FUEL OIL, 77, 055. 24 BBLS BULK HIGH SULFUR FUEL OIL, 77, 363. 39 BBLS",81.3
ExxonMobil,"Huelva, Spain","Port Of Entry-Perth Amboy, Perth Amboy, New Jersey",27.0,2710.0,119816.0,8,"NAPHTHA (128, 268. 90 US BARRELS AT 60 DEG F) (14, 606. 025 METRIC TONS IN AIR) (FOR DISCHARGE AT BUCKEYE PORT READING) NAPHTHA (135, 886 US BARRELS AT 60 DEG F) (15, 348. 190 METRIC TONS IN AIR) (FOR DISCHARGE AT BUCKEYE PORT READING) NAPHTHA (128, 268. 90 US BARRELS AT 60 DEG F) (14, 606. 025 METRIC TONS IN AIR) (FOR DISCHARGE AT BUCKEYE PORT READING) NAPHTHA (135, 886 US BARRELS AT 60 DEG F) (15, 348. 190 METRIC TONS IN AIR) (FOR DISCHARGE AT BUCKEYE PORT READING) NAPHTHA (128, 268. 90 US BARRELS AT 60 DEG F) (14, 606. 025 METRIC TONS IN AIR) (FOR DISCHARGE AT BUCKEYE PORT READING) NAPHTHA (135, 886 US BARRELS AT 60 DEG F) (15, 348. 190 METRIC TONS IN AIR) (FOR DISCHARGE AT BUCKEYE PORT READING) NAPHTHA (128, 268. 90 US BARRELS AT 60 DEG F) (14, 606. 025 METRIC TONS IN AIR) (FOR DISCHARGE AT BUCKEYE PORT READING) NAPHTHA (135, 886 US BARRELS AT 60 DEG F) (15, 348. 190 METRIC TONS IN AIR) (FOR DISCHARGE AT BUCKEYE PORT READING)",81.2
Morton Salt,"All Other Mexico West Coast Region Ports, Mexico","Port of Long Beach, Long Beach, California",76.0,7601.0,108069.28,8,"MEXICAN INDUSTRIAL COARSE SOLAR SALT IN BULK 27, 000 MT FREIGHT PAYABLE AS PER CHARTER PART Y MEXICAN INDUSTRIAL COARSE SOLAR SALT IN BULK 27, 000 MT FREIGHT PAYABLE AS PER CHARTER PART Y SALT IN BULK 17, 317 METRIC TONS FREIGHT PAYAB LE AS PER CHARTER PARTY SALT IN BULK 17, 317 METRIC TONS FREIGHT PAYAB LE AS PER CHARTER PARTY MEXICAN INDUSTRIAL COARSE SOLAR SALT IN BULK 27, 000 MT FREIGHT PAYABLE AS PER CHARTER PART Y MEXICAN INDUSTRIAL COARSE SOLAR SALT IN BULK 27, 000 MT FREIGHT PAYABLE AS PER CHARTER PART Y SALT IN BULK 17, 317 METRIC TONS FREIGHT PAYAB LE AS PER CHARTER PARTY SALT IN BULK 17, 317 METRIC TONS FREIGHT PAYAB LE AS PER CHARTER PARTY",81.1
Valero,"Milford Haven, United Kingdom","Port of Christiansted, Christiansted, Virgin Islands",27.0,2710.0,96103.44,8,"GASOLINE 150000 BBLS GASOLINE 150000 BBLS 79, 678 BBLS UNLEADED GASOLINE 43, 710 BBLS UNLEADED GASOLINE 96, 163 BBLS UNLEADED GASOLINE 21, 855 BBLS UNLEADED GASOLINE 28, 344 BBLS UNLEADED GASOLINE 60, 543 BBLS UNLEADED GASOLINE",81.0
Morton Salt,"Caleta Patillos, Chile","Port Of Boston, Boston, Massachusetts",38.0,3823.0,102652.0,8,"SALT IN BULK DEICING GRADE (15, 663 METRIC TONS) SALT IN BULK DEICING GRADE (15, 663 METRIC TONS) SALT IN BULK DEICING GRADE (10, 000 METRIC TONS) SALT IN BULK DEICING GRADE (10, 000 METRIC TONS) SALT IN BULK DEICING GRADE (15, 663 METRIC TONS) SALT IN BULK DEICING GRADE (15, 663 METRIC TONS) SALT IN BULK DEICING GRADE (10, 000 METRIC TONS) SALT IN BULK DEICING GRADE (10, 000 METRIC TONS)",81.0
Celanese,"Coatzacoalcos, Mexico","Port Arthur, Texas",29.0,2914.0,2099778.0,6,"FOREIGN RETAINED ONBOARD: 349. 963 METRIC TONS METHYL ISOBUTYL KETONE (MIBK) METIL ISOBUTIL KETONE NOTES: CARGO ORIGINALLY LOADED ONBOARD AT COA TZACOALCOS, MEXICO WILL REMAIN ONBOARD DURING THE VESSELS CALL TO THE USA UNTIL FINAL DISP ORT OF ANTWERP, BELGIUM FOREIGN RETAINED ONBOARD: 349. 963 METRIC TONS METHYL ISOBUTYL KETONE (MIBK) METIL ISOBUTIL KETONE NOTES: CARGO ORIGINALLY LOADED ONBOARD AT COA TZACOALCOS, MEXICO WILL REMAIN ONBOARD DURING THE VESSELS CALL TO THE USA UNTIL FINAL DISP ORT OF ANTWERP, BELGIUM FOREIGN RETAINED ONBOARD: 349. 963 METRIC TONS METHYL ISOBUTYL KETONE (MIBK) METIL ISOBUTIL KETONE NOTES: CARGO ORIGINALLY LOADED ONBOARD AT COA TZACOALCOS, MEXICO WILL REMAIN ONBOARD DURING THE VESSELS CALL TO THE USA UNTIL FINAL DISP ORT OF ANTWERP, BELGIUM FOREIGN RETAINED ONBOARD: 349. 963 METRIC TONS METHYL ISOBUTYL KETONE (MIBK) METIL ISOBUTIL KETONE NOTES: CARGO ORIGINALLY LOADED ONBOARD AT COA TZACOALCOS, MEXICO WILL REMAIN ONBOARD DURING THE VESSELS CALL TO THE USA UNTIL FINAL DISP ORT OF ANTWERP, BELGIUM FOREIGN RETAINED ONBOARD: 349. 963 METRIC TONS METHYL ISOBUTYL KETONE (MIBK) METIL ISOBUTIL KETONE NOTES: CARGO ORIGINALLY LOADED ONBOARD AT COA TZACOALCOS, MEXICO WILL REMAIN ONBOARD DURING THE VESSELS CALL TO THE USA UNTIL FINAL DISP ORT OF ANTWERP, BELGIUM FOREIGN RETAINED ONBOARD: 349. 963 METRIC TONS METHYL ISOBUTYL KETONE (MIBK) METIL ISOBUTIL KETONE NOTES: CARGO ORIGINALLY LOADED ONBOARD AT COA TZACOALCOS, MEXICO WILL REMAIN ONBOARD DURING THE VESSELS CALL TO THE USA UNTIL FINAL DISP ORT OF ANTWERP, BELGIUM",81.0
Valero,"Freeport, Grand Bahama I, Bahamas","Port of New Haven, New Haven, Connecticut",27.0,2710.0,84768.0,8,"UNLEADED GASOLINE (75, 000. 00 BARRELS AT 60 DEG F) (8, 278. 099 METRIC TONS IN AIR) UNLEADED GASOLINE (117, 000. 00 BARRELS AT 60 DEG F) (12, 913. 835 METRIC TONS IN AIR) UNLEADED GASOLINE (75, 000. 00 BARRELS AT 60 DEG F) (8, 278. 099 METRIC TONS IN AIR) UNLEADED GASOLINE (117, 000. 00 BARRELS AT 60 DEG F) (12, 913. 835 METRIC TONS IN AIR) UNLEADED GASOLINE (75, 000. 00 BARRELS AT 60 DEG F) (8, 278. 099 METRIC TONS IN AIR) UNLEADED GASOLINE (117, 000. 00 BARRELS AT 60 DEG F) (12, 913. 835 METRIC TONS IN AIR) UNLEADED GASOLINE (75, 000. 00 BARRELS AT 60 DEG F) (8, 278. 099 METRIC TONS IN AIR) UNLEADED GASOLINE (117, 000. 00 BARRELS AT 60 DEG F) (12, 913. 835 METRIC TONS IN AIR)",80.8
Marathon Petroleum,"Vancouver, BC, Canada","Service Port-San Francisco, San Francisco, California",15.0,1514.0,78136.0,8,CRUDE SUPER DEGUMMED CANOLA OIL CRUDE SUPER DEGUMMED CANOLA OIL CRUDE SUPER DEGUMMED CANOLA OIL CRUDE SUPER DEGUMMED CANOLA OIL CRUDE SUPER DEGUMMED CANOLA OIL CRUDE SUPER DEGUMMED CANOLA OIL CRUDE SUPER DEGUMMED CANOLA OIL CRUDE SUPER DEGUMMED CANOLA OIL,80.8
Ecopetrol,"Barranquilla, Colombia","San Juan, San Juan, Puerto Rico",27.0,2710.0,75262.0,8,"64, 833. 15 BBLS PG 64-22 FOREIGN RETAINED ON BOARD 68, 082. 95 BBLS PG 64-22 56, 291. 38 BBLS ASPHALT PG 64-22 43, 274. 59 BBLS ASPHALT PG 64-22 64, 833. 15 BBLS PG 64-22 FOREIGN RETAINED ON BOARD 68, 082. 95 BBLS PG 64-22 43, 274. 59 BBLS ASPHALT PG 64-22 56, 291. 38 BBLS ASPHALT PG 64-22",80.8
PBF Energy,"High Seas,Gulf Of Mexico","Port of Wilmington, Wilmington, Delaware",27.0,2709.0,82769.56,8,"100, 416. 71 BBLS GSV@60F ARAB LIGHT CRUDE OIL 50, 709. 05 BBLS GSV@60F ARAB LIGHT CRUDE OIL A 100, 416. 71 BBLS GSV@60F ARAB LIGHT CRUDE OIL 50, 709. 05 BBLS GSV@60F ARAB LIGHT CRUDE OIL A 100, 416. 71 BBLS GSV@60F ARAB LIGHT CRUDE OIL 50, 709. 05 BBLS GSV@60F ARAB LIGHT CRUDE OIL A 100, 416. 71 BBLS GSV@60F ARAB LIGHT CRUDE OIL 50, 709. 05 BBLS GSV@60F ARAB LIGHT CRUDE OIL A",80.8
Citgo,"All Other St. Croix Virgin Islands, Virgin Islands (U.S.)","Port of Christiansted, Christiansted, Virgin Islands",27.0,2710.0,63320.0,8,"114, 000 BBLS CATGAS CARGO LOADED AT US PORT, CORPUS CHRISIT 54, 781. 28 BBLS ULSD - CARGO LOADED AT US PORT, CORPUS CHRISIT FOREIGN RETAINED ONBOARD 86, 510. 71 BBLS CATGAS - CARGO LOADED AT US PO RT, CORPUS CHRISIT FOREIGN RETAINED ONBOARD 5, 187. 13 BBLS EN590 - CARGO LOADED AT US PORT, CORPUS CHRISIT FOREIGN RETAINED ONBOARD 114, 000 BBLS CATGAS CARGO LOADED AT US PORT, CORPUS CHRISIT 54, 781. 28 BBLS ULSD - CARGO LOADED AT US PORT, CORPUS CHRISIT FOREIGN RETAINED ONBOARD 86, 510. 71 BBLS CATGAS - CARGO LOADED AT US PO RT, CORPUS CHRISIT FOREIGN RETAINED ONBOARD 5, 187. 13 BBLS EN590 - CARGO LOADED AT US PORT, CORPUS CHRISIT FOREIGN RETAINED ONBOARD",80.6
Trafigura,"Matarani, Peru","Port of New Orleans, New Orleans, Louisiana",26.0,2616.0,51009.02,8,"STC ZINC CONCENTRATES IN BULK ZINC CONCENTRATES IN BULK ZINC CONCENTRATES IN BULK ZINC CONCENTRATES IN BULK ZINC CONCENTRATES IN BULK 5, 087. 440 METRIC TONS ZINC CONCENTRATES IN BULK 5, 087. 440 METRIC TONS ZINC CONCENTRATES IN BULK STC ZINC CONCENTRATES IN BULK",80.5
Valero,"Nantong, China","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana",15.0,1518.0,49940.020000000004,8,USED COOKING OIL USED COOKING OIL USED COOKING OIL USED COOKING OIL USED COOKING OIL USED COOKING OIL USED COOKING OIL USED COOKING OIL PACKING IN BULK ST ROSE,80.5
Marathon Petroleum,"Goderich, Ont, Canada","Detroit/Wayne County Port Authority, Detroit, Michigan",27.0,2715.0,33021.6,8,ASPHALT IN BULK ASPHALT IN BULK ASPHALT IN BULK ASPHALT IN BULK ASPHALT IN BULK ASPHALT IN BULK ASPHALT IN BULK ASPHALT IN BULK,80.3
Valero,"Nansha, China","Port Arthur, Texas",15.0,1518.0,30971.3,8,USED COOKING OIL USED COOKING OIL USED COOKING OIL USED COOKING OIL USED COOKING OILS USED COOKING OIL USED COOKING OIL USED COOKING OIL,80.3
Emirates Aluminium (EGA),"Rotterdam, Netherlands","Houston, Houston, Texas",38.0,3804.0,25063.879999999997,8,"3, 266. 977 METRIC TONS LIQUID LIGNOSULPHONATE BORREBOND FP-P PROPER SHIPPING NAME: CALCIUM LIGNOSULPHONATE SOLUTIONS 3, 266. 977 METRIC TONS LIQUID LIGNOSULPHONATE BORREBOND FP-P PROPER SHIPPING NAME: CALCIUM LIGNOSULPHONATE SOLUTIONS 2, 998. 994 METRIC TONS LIQUID LIGNOSULPHONATE BORREBOND FP-P PROPER SHIPPING NAME: CALCIUM LIGNOSULPHONATE SOLUTIONS 2, 998. 994 METRIC TONS LIQUID LIGNOSULPHONATE BORREBOND FP-P PROPER SHIPPING NAME: CALCIUM LIGNOSULPHONATE SOLUTIONS 3, 266. 977 METRIC TONS LIQUID LIGNOSULPHONATE BORREBOND FP-P PROPER SHIPPING NAME: CALCIUM LIGNOSULPHONATE SOLUTIONS 3, 266. 977 METRIC TONS LIQUID LIGNOSULPHONATE BORREBOND FP-P PROPER SHIPPING NAME: CALCIUM LIGNOSULPHONATE SOLUTIONS 2, 998. 994 METRIC TONS LIQUID LIGNOSULPHONATE BORREBOND FP-P PROPER SHIPPING NAME: CALCIUM LIGNOSULPHONATE SOLUTIONS 2, 998. 994 METRIC TONS LIQUID LIGNOSULPHONATE BORREBOND FP-P PROPER SHIPPING NAME: CALCIUM LIGNOSULPHONATE SOLUTIONS",80.3
Valero,"Lianyungang, China","Port Arthur, Texas",15.0,1518.0,28443.0,8,"102, 009 BBLS USED COOKING OIL 6, 084 BBLS USED COOKING OIL 6, 549 BBLS USED COOKING OIL 27, 000 BBLS USED COOKING OIL 2, 237 BBLS USED COOKING OIL 20, 534 BBLS USED COOKING OIL 12, 694 BBLS USED COOKING OIL 16, 718 BBLS USED COOKING OIL",80.3
Marathon Petroleum,"Vancouver, BC, Canada","Martinez, California",27.0,2709.0,28001.8,8,"13, 828. 045 BBLS CRUDE BLEACHABLE FANCY TALLOW 34, 593. 318 BBLS CRUDE YELLOW GREASE 13, 828. 045 BBLS CRUDE BLEACHABLE FANCY TALLOW 34, 593. 318 BBLS CRUDE YELLOW GREASE 13, 828. 045 BBLS CRUDE BLEACHABLE FANCY TALLOW 34, 593. 318 BBLS CRUDE YELLOW GREASE 13, 828. 045 BBLS CRUDE BLEACHABLE FANCY TALLOW 34, 593. 318 BBLS CRUDE YELLOW GREASE",80.3
Valero,"All Other Malaysia Ports, Malaysia","Port of New Orleans, New Orleans, Louisiana",15.0,1518.0,19594.0,8,"USED COOKING OIL (4, 420. 329 METRIC TONS) USED COOKING OIL (300. 000 METRIC TONS) USED COOKING OIL (4, 420. 329 METRIC TONS) USED COOKING OIL (300. 000 METRIC TONS) 5, 036. 560 MT USED COOKING OIL 500 MT USED COOKING OIL 400 MT USED COOKING OIL 4, 217. 062 MT USED COOKING OIL",80.2
Marathon Petroleum,"Montevideo, Uruguay","Martinez, California",15.0,1502.0,16500.88,8,INEDIBLE BOVINE TALLOW FOR INDUSTRIAL USE INEDIBLE BOVINE TALLOW FOR INDUSTRIAL USE INEDIBLE BOVINE TALLOW FOR INDUSTRIAL USE INEDIBLE BOVINE TALLOW FOR INDUSTRIAL USE INEDIBLE BOVINE TALLOW FOR INDUSTRIAL USE INEDIBLE BOVINE TALLOW FOR INDUSTRIAL USE INEDIBLE BOVINE TALLOW FOR INDUSTRIAL USE INEDIBLE BOVINE TALLOW FOR INDUSTRIAL USE,80.2
Emirates Aluminium (EGA),"Adana, Turkey","Baltimore, Maryland",23.0,2304.0,24197.96,8,SOYBEAN MEAL IN BULK SOYBEAN MEAL IN BULK SOYBEAN MEAL IN BULK SOYBEAN MEAL IN BIGBAGS SOYBEAN MEAL IN BULK SOYBEAN MEAL IN BULK SOYBEAN MEAL IN BULK SOYBEAN MEAL IN BIGBAGS,80.2
ExxonMobil,"Rotterdam, Netherlands","Houston, Houston, Texas",27.0,2710.0,21705.22,8,EHC 50 EHC 50 ANNEX 1 OIL GROUP 13 EHC 50 EHC 50 ANNEX 1 OIL GROUP 13 EHC 50 EHC 50,80.2
ExxonMobil,"Le Havre, France","Port of New Orleans, New Orleans, Louisiana",87.0,8703.0,10537.64,8,"1, 412. 387 METRIC TONS TETRAMER BR MARPOL CODE: OLEFIN MIXTURES (C5-C15) 1, 412. 387 METRIC TONS TETRAMER BR MARPOL CODE: OLEFIN MIXTURES (C5-C15) 1, 222. 022 METRIC TONS TETRAMER BR MARPOL CODE: OLEFIN MIXTURES (C5-C15) 1, 222. 022 METRIC TONS TETRAMER BR MARPOL CODE: OLEFIN MIXTURES (C5-C15) 1, 412. 387 METRIC TONS TETRAMER BR MARPOL CODE: OLEFIN MIXTURES (C5-C15) 1, 412. 387 METRIC TONS TETRAMER BR MARPOL CODE: OLEFIN MIXTURES (C5-C15) 1, 222. 022 METRIC TONS TETRAMER BR MARPOL CODE: OLEFIN MIXTURES (C5-C15) 1, 222. 022 METRIC TONS TETRAMER BR MARPOL CODE: OLEFIN MIXTURES (C5-C15)",80.1
ExxonMobil,"Le Havre, France","Houston, Houston, Texas",39.0,3902.0,6017.099999999999,8,"506. 889 METRIC TONS SCPECTRASYN 8 MARPOL CODE: SPECTRASYN 8 (POLYOLEFIN MOLECUL AR WEIGHT 300+) 444 METRIC TONS SPECTRASYN 85 MARPOL CODE: POLYOLEFIN (MOLECULAR WEIGHT 300 +) 1, 042 METRIC TONS SPECTRASYN 6 MARPOL CODE: POLYOLEFIN (MOLECULAR WEIGHT 300 +) 444 METRIC TONS SPECTRASYN 85 MARPOL CODE: POLYOLEFIN (MOLECULAR WEIGHT 300 +) 1, 042 METRIC TONS SPECTRASYN 6 MARPOL CODE: POLYOLEFIN (MOLECULAR WEIGHT 300 +) 506. 889 METRIC TONS SCPECTRASYN 8 MARPOL CODE: SPECTRASYN 8 (POLYOLEFIN MOLECUL AR WEIGHT 300+) 1, 015. 658 METRIC TONS SPECTRASYN 6 MARPOL CODE: SPECTRASYN 6 (POLYOLEFIN (MOLECU LAR WEIGHT 300+) 1, 015. 658 METRIC TONS SPECTRASYN 6 MARPOL CODE: SPECTRASYN 6 (POLYOLEFIN (MOLECU LAR WEIGHT 300+)",80.1
Emirates Aluminium (EGA),"Itaqui, Brazil","Port of Olympia, Olympia, Washington",47.0,4703.0,12000.0,8,"PULP 8 BALE Description: 500 SUZANO 100% PLANTED EUCALYPTUS / MADE IN BRAZ 500 UNITS OF 8 BALES EACH OF BLEACHED EUCALYPTUS KRAFT PULP (100PCT HARDWOOD, BASIS 90/100) QUANTITY: 997. 656 ADMT MARKED WITH: ISP / ""FREIGHT PREPAID"" CLEAN ON BOARD ON 30/12/23 SHIPPED ON BOARD ON 30/12/23 NCM: 47032900 DUE: 23BR0021477122 CARRIER'S RESPONSIBILITY CEASES AT PORT OF DI Marks: NO MARKS PULP 8 BALE Description: 1000 SUZANO 100% PLANTED EUCALYPTUS / MADE IN BRAZ 1000 UNITS OF 8 BALES EACH OF BLEACHED EUCALYPTUS KRAFT PULP (100PCT HARDWOOD, BASIS 90/100) QUANTITY: 1, 995. 400 ADMT MARKED WITH: ISP / ""FREIGHT PREPAID"" CLEAN ON BOARD ON 30/12/23 SHIPPED ON BOARD ON 30/12/23 NCM: 47032900 DUE: 23BR0021476533 CARRIER'S RESPONSIBILITY CEASES AT PORT OF DI Marks: NO MARKS PULP 8 BALE Description: 500 SUZANO 100% PLANTED EUCALYPTUS / MADE IN BRAZ 500 UNITS OF 8 BALES EACH OF BLEACHED EUCALYPTUS KRAFT PULP (100PCT HARDWOOD, BASIS 90/100) QUANTITY: 997. 656 ADMT MARKED WITH: ISP / ""FREIGHT PREPAID"" CLEAN ON BOARD ON 30/12/23 SHIPPED ON BOARD ON 30/12/23 NCM: 47032900 DUE: 23BR0021477122 CARRIER'S RESPONSIBILITY CEASES AT PORT OF DI Marks: NO MARKS PULP 8 BALE Description: 1000 SUZANO 100% PLANTED EUCALYPTUS / MADE IN BRAZ 1000 UNITS OF 8 BALES EACH OF BLEACHED EUCALYPTUS KRAFT PULP (100PCT HARDWOOD, BASIS 90/100) QUANTITY: 1, 995. 400 ADMT MARKED WITH: ISP / ""FREIGHT PREPAID"" CLEAN ON BOARD ON 30/12/23 SHIPPED ON BOARD ON 30/12/23 NCM: 47032900 DUE: 23BR0021476533 CARRIER'S RESPONSIBILITY CEASES AT PORT OF DI Marks: NO MARKS PULP 8 BALE Description: 500 SUZANO 100% PLANTED EUCALYPTUS / MADE IN BRAZ 500 UNITS OF 8 BALES EACH OF BLEACHED EUCALYPTUS KRAFT PULP (100PCT HARDWOOD, BASIS 90/100) QUANTITY: 997. 656 ADMT MARKED WITH: ISP / ""FREIGHT PREPAID"" CLEAN ON BOARD ON 30/12/23 SHIPPED ON BOARD ON 30/12/23 NCM: 47032900 DUE: 23BR0021477122 CARRIER'S RESPONSIBILITY CEASES AT PORT OF DI Marks: NO MARKS PULP 8 BALE Description: 1000 SUZANO 100% PLANTED EUCALYPTUS / MADE IN BRAZ 1000 UNITS OF 8 BALES EACH OF BLEACHED EUCALYPTUS KRAFT PULP (100PCT HARDWOOD, BASIS 90/100) QUANTITY: 1, 995. 400 ADMT MARKED WITH: ISP / ""FREIGHT PREPAID"" CLEAN ON BOARD ON 30/12/23 SHIPPED ON BOARD ON 30/12/23 NCM: 47032900 DUE: 23BR0021476533 CARRIER'S RESPONSIBILITY CEASES AT PORT OF DI Marks: NO MARKS PULP 8 BALE Description: 500 SUZANO 100% PLANTED EUCALYPTUS / MADE IN BRAZ 500 UNITS OF 8 BALES EACH OF BLEACHED EUCALYPTUS KRAFT PULP (100PCT HARDWOOD, BASIS 90/100) QUANTITY: 997. 656 ADMT MARKED WITH: ISP / ""FREIGHT PREPAID"" CLEAN ON BOARD ON 30/12/23 SHIPPED ON BOARD ON 30/12/23 NCM: 47032900 DUE: 23BR0021477122 CARRIER'S RESPONSIBILITY CEASES AT PORT OF DI Marks: NO MARKS PULP 8 BALE Description: 1000 SUZANO 100% PLANTED EUCALYPTUS / MADE IN BRAZ 1000 UNITS OF 8 BALES EACH OF BLEACHED EUCALYPTUS KRAFT PULP (100PCT HARDWOOD, BASIS 90/100) QUANTITY: 1, 995. 400 ADMT MARKED WITH: ISP / ""FREIGHT PREPAID"" CLEAN ON BOARD ON 30/12/23 SHIPPED ON BOARD ON 30/12/23 NCM: 47032900 DUE: 23BR0021476533 CARRIER'S RESPONSIBILITY CEASES AT PORT OF DI Marks: NO MARKS",80.1
ExxonMobil,"Rotterdam, Netherlands","Houston, Houston, Texas",39.0,3902.0,6194.0,8,"501 METRIC TONS SPECTRASYN 10 (POLYOLEFIN (MOLECULAR WEIGHT 3 00+) 1, 299 METRIC TONS SPECTRASYN 6 (POLYOLEFIN (MOLECULAR WEIGHT 30 0+) 501 METRIC TONS SPECTRASYN 10 (POLYOLEFIN (MOLECULAR WEIGHT 3 00+) 1, 299 METRIC TONS SPECTRASYN 6 (POLYOLEFIN (MOLECULAR WEIGHT 30 0+) 799 METRIC TONS SPECTRASYN 4 MARPOL CODE: SPECTRASYN 4 POLYOLEFIN (MOLECUL AR WEIGHT 300+) 498 METRIC TONS SPECTRASYN 6 MARPOL CODE: SPECTRASYN 6 POLYOLEFIN (MOLECUL AR WEIGHT 300+) 799 METRIC TONS SPECTRASYN 4 MARPOL CODE: SPECTRASYN 4 POLYOLEFIN (MOLECUL AR WEIGHT 300+) 498 METRIC TONS SPECTRASYN 6 MARPOL CODE: SPECTRASYN 6 POLYOLEFIN (MOLECUL AR WEIGHT 300+)",80.1
ExxonMobil,"Rotterdam, Netherlands","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana",38.0,3823.0,7192.639999999999,8,800. 149 METRIC TONS EXXAL 8 ROP IBC NAME: OCTANOL (ALL ISOMERS) 800. 149 METRIC TONS EXXAL 8 ROP IBC NAME: OCTANOL (ALL ISOMERS) 998. 011 METRIC TONS EXXAL 8 ROP IBC NAME: OCTANOL (ALL ISOMERS) 998. 011 METRIC TONS EXXAL 8 ROP IBC NAME: OCTANOL (ALL ISOMERS) 800. 149 METRIC TONS EXXAL 8 ROP IBC NAME: OCTANOL (ALL ISOMERS) 800. 149 METRIC TONS EXXAL 8 ROP IBC NAME: OCTANOL (ALL ISOMERS) 998. 011 METRIC TONS EXXAL 8 ROP IBC NAME: OCTANOL (ALL ISOMERS) 998. 011 METRIC TONS EXXAL 8 ROP IBC NAME: OCTANOL (ALL ISOMERS),80.1
Emirates Aluminium (EGA),"Mizushima, Japan","Port of Long Beach, Long Beach, California",72.0,7225.0,3723.7,8,SILICON ELECTRICAL STEEL GRAIN-ORIENTED INVOI CE NO C30652909-A COIL COVER PARTLY RUSTY FREIGHT PREPAID AS ARRANGED COLD ROLLED NON-ORIENTED ELECTRICAL STEEL INV OICE NO C30649538-A COILS COVER PARTLY RUSTY FREIGHT PREPAI D AS ARRANGED SILICON ELECTRICAL STEEL GRAIN-ORIENTED INVOI CE NO C30652909-A COIL COVER PARTLY RUSTY FREIGHT PREPAID AS ARRANGED COLD ROLLED NON-ORIENTED ELECTRICAL STEEL INV OICE NO C30649538-A COILS COVER PARTLY RUSTY FREIGHT PREPAI D AS ARRANGED SILICON ELECTRICAL STEEL GRAIN-ORIENTED INVOI CE NO C30598605-A FREIGHT PREPAID AS ARRANGED (27)COILS COVER P ARTLY RUSTY COLD ROLLED NON-ORIENTED ELECTRICAL STEEL INV OICE NO. C30589217-A C30589219-A C30591214-A FREIGHT PREPAID AS ARRANGED (135)COILS COVER PARTLY RUSTY SILICON ELECTRICAL STEEL GRAIN-ORIENTED INVOI CE NO C30598605-A FREIGHT PREPAID AS ARRANGED (27)COILS COVER P ARTLY RUSTY COLD ROLLED NON-ORIENTED ELECTRICAL STEEL INV OICE NO. C30589217-A C30589219-A C30591214-A FREIGHT PREPAID AS ARRANGED (135)COILS COVER PARTLY RUSTY,80.0
Emirates Aluminium (EGA),"Onsan, South Korea","Port of Brunswick, Brunswick, Georgia",87.0,8703.0,26.1,8,"HYUNDAI VEHICLES MODEL: RG3 F/L / ICE / 3. 5T / RWD / 2024 - VIN: KMTGG4SDXSU225976. SELF-PROPELLED VEHICLES. ""FREIGHT PREPAID"" SAY: ONE (1) UNIT ONLY. MODEL: RG3 F/L / ICE / 3. 5T / RWD / 2024 - VIN: KMTGG4SDXSU225976. SELF-PROPELLED VEHICLES. ""FREIGHT PREPAID"" SAY: ONE (1) UNIT ONLY. 1. LX3 (C215) 1 - VIN: KMHRGABAXP1P98215 - INFORMATION: LX3 (2. 5T HEV) 2. LX3 (C022) 1 - VIN: KMHRG811BP1P98022 - INFORMATION: LX3 (2. 5T). SELF-PROPELLED VEHICLES. ""FREIGHT PREPAID"" SAY: TWO (2) UNITS ONLY. 1. LX3 (C215) 1 - VIN: KMHRGABAXP1P98215 - INFORMATION: LX3 (2. 5T HEV) 2. LX3 (C022) 1 - VIN: KMHRG811BP1P98022 - INFORMATION: LX3 (2. 5T). SELF-PROPELLED VEHICLES. ""FREIGHT PREPAID"" SAY: TWO (2) UNITS ONLY. MODEL: JX / ICE / 3. 5T / AWD / 2023 1 - VIN: KMUJB8SCXRU170311. SELF-PROPELLED VEHICLES. ""FREIGHT PREPAID"" SAY: ONE (1) UNIT ONLY. HYUNDAI VEHICLES MODEL: JX / ICE / 3. 5T / AWD / 2023 1 - VIN: KMUJB8SCXRU170311. SELF-PROPELLED VEHICLES. ""FREIGHT PREPAID"" SAY: ONE (1) UNIT ONLY.",80.0
