Bill of Lading Number,Arrival Date,Consignee,Consignee (Original Format),Consignee SIC Codes,Shipper,Shipper (Original Format),Shipper SIC Codes,Notify Party,Carrier,Origin (F),Destination (D),Port of Discharge (D),Port of Loading (F),Country of Origin (F),Place of Receipt (F),Vessel,Voyage,IMO,Is Containerized,Measurement,Kilos,Tons,Weight (Original Format),Value,HS Code Desc.,Goods Shipped,REC_ID,Qty,Pckg,HS2,HS4,HS6,Vessel_Type_Simple,Carrier Name,Package_Type,Count,Group,Commodity,Cargo,Cargo Detail,Group_Locked,Commodity_Locked,Cargo_Locked,Cargo_Detail_Locked,Classified_Phase,Last_Rule_ID,Report_One,Report_Two,Report_Three,Report_Four,Filter,Note,Cargo_Detail,Classified_By_Rule,Type,DWT,LOA,Beam,Depth(m),GT,NRT,Grain,TPC,Dwt_Draft(m),Port_Code,Port_Consolidated,Port_Coast,Port_Region
CINT3985MORRIO01,2024-10-23,Host Agency,,8748,Citygusa Siderurgia Limiteda,"CITYGUSA SIDERURGIA LTDA
ESTRADA JOSE LEANDRO RIBERIO
SN BAIRRO VARZE ALEGRE
PEDRO LEOPOLDO MG
TE03136631700",3312,"HOST AGENCY LLC
365 CANAL STREET, SUITE 2500 NEW ORLEANS LA 70130, 504-469-0731",CINT - Cargill International S A,Brazil,"Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,RHODOS,1,,, ,2001000.0,2001.0,2001 ET,900000.0,Classified: 7201.10,"2, 001 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE022_R173503,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
CINT3985MORRIO13,2024-10-23,Host Agency,,8748,Avg Siderurgia Limiteda,"AVG SIDERURGIA LTDA
RODOVIA BR 040 KM 468
35701-970 SETE LAGOAS MG
BRASIL",,"HOST AGENCY LLC
365 CANAL STREET, SUITE 2500 NEW ORLEANS LA 70130, 504-469-0731",CINT - Cargill International S A,Brazil,"Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,RHODOS,1,,, ,3041000.0,3041.0,3041 ET,1368000.0,Classified: 7201.10,"3, 041 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE035_R251205,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
CINT3985MORRIO12,2024-10-23,Host Agency,,8748,Gelf Siderurgia S.A.,"GELF SIDERURGIA S.A.
RODOVIA BR 040 KM 465 BARREIRO
SETE LAGOAS MINAS GERAIS
BRAZIL 35701-970
TE55 31 3779 4209",,"HOST AGENCY LLC
365 CANAL STREET, SUITE 2500 NEW ORLEANS LA 70130, 504-469-0731",CINT - Cargill International S A,Brazil,"Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,RHODOS,1,,, ,3044000.0,3044.0,3044 ET,1370000.0,Classified: 7201.10,"3, 044 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE035_R251206,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
CINT3985MORRIO11,2024-10-23,Host Agency,,8748,Ferguminas Siderurgia Limiteda,"FERGUMINAS SIDERURGIA LTDA
RODOVIA MG 431 KM 36 SN ZONA RURAL
CEP 35680-143 ITAUNA-MG-BRASIL",3312,"HOST AGENCY LLC
365 CANAL STREET, SUITE 2500 NEW ORLEANS LA 70130, 504-469-0731",CINT - Cargill International S A,Brazil,"Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,RHODOS,1,,, ,17001000.0,17001.0,17001 ET,7650000.0,Classified: 7201.10,"17, 001 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE035_R251207,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
CINT3985MORRIO10,2024-10-23,Host Agency,,8748,Siderurgica Itabirito Limiteda,"SIDERURGICA ITABIRITO LTDA
AV. QUEIROZ JUNIOR 3575 - ESPERANCA
CEP 35450-000 ITABIRITO MG BRASIL",3312,"HOST AGENCY LLC
365 CANAL STREET, SUITE 2500 NEW ORLEANS LA 70130, 504-469-0731",CINT - Cargill International S A,Brazil,"Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,RHODOS,1,,, ,2998000.0,2998.0,2998 ET,1349000.0,Classified: 7201.10,"2, 998 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE035_R251208,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
CINT3985MORRIO09,2024-10-23,Host Agency,,8748,Siderurgica Valinho S A,"SIDERURGICA VALINHO S.A.
RODOVIA MG 050 KM 119 TIETE
CEP 35500-970 DIVINOPOLIS
MG BRASIL",1221,"HOST AGENCY LLC
365 CANAL STREET, SUITE 2500 NEW ORLEANS LA 70130, 504-469-0731",CINT - Cargill International S A,Brazil,"Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,RHODOS,1,,, ,1498000.0,1498.0,1498 ET,674000.0,Classified: 7201.10,"1, 498 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE035_R251209,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
CINT3985MORRIO08,2024-10-23,Host Agency,,8748,Siderurgica Alterosa Sa,"SIDERURGICA ALTEROSA SA
RUA PEQUI 189 SANTOS DUMONT
PARA DE MINAS MG
BRAZIL",3312,"HOST AGENCY LLC
365 CANAL STREET, SUITE 2500 NEW ORLEANS LA 70130, 504-469-0731",CINT - Cargill International S A,Brazil,"Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,RHODOS,1,,, ,2495000.0,2495.0,2495 ET,1123000.0,Classified: 7201.10,"2, 495 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE035_R251210,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
CINT3985MORRIO07,2024-10-23,Host Agency,,8748,Metalsider Limiteda,"METALSIDER LTDA
AV. AMAZONAS, 2481-BAIRRO CACHOEIRA
CEP 32602-335 BETIM-MG-BRASIL",3312,"HOST AGENCY LLC
365 CANAL STREET, SUITE 2500 NEW ORLEANS LA 70130, 504-469-0731",CINT - Cargill International S A,Brazil,"Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,RHODOS,1,,, ,4494000.0,4494.0,4494 ET,2022000.0,Classified: 7201.10,"4, 494 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE035_R251211,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
CINT3985MORRIO06,2024-10-23,Host Agency,,8748,Sama Santa Marta Siderurgia Limiteda,"SAMA-SANTA MARTA SIDERURGIA LTDA
RUA JOAO DO VALE 1360 BARIO SAO JOA
CEP 35700-120 SETE LAGOAS MG BRAZIL
BRAZIL",3312,"HOST AGENCY LLC
365 CANAL STREET, SUITE 2500 NEW ORLEANS LA 70130, 504-469-0731",CINT - Cargill International S A,Brazil,"Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,RHODOS,1,,, ,1500000.0,1500.0,1500 ET,675000.0,Classified: 7201.10,"1, 500 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE035_R251212,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
CINT3985MORRIO05,2024-10-23,Host Agency,,8748,Sds Siderurgica Limiteda,"SDS SIDERURGICA LTDA
RODOVIA BR 040 KM 476
BAIRRO UNIV. SETE LAGOAS MG
BRASIL",,"HOST AGENCY LLC
365 CANAL STREET, SUITE 2500 NEW ORLEANS LA 70130, 504-469-0731",CINT - Cargill International S A,Brazil,"Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,RHODOS,1,,, ,911000.0,911.0,911 ET,410000.0,Classified: 7201.10,911 MT BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE035_R251213,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
CINT3985MORRIO04,2024-10-23,Host Agency,,8748,Tecnosider Siderurgia Limiteda,"TECNOSIDER SIDERURGIA LTDA
RODOVIA BR040 KM 475
BAIRRO DAS INDUSTRIAS
CEP 35701 970 SETE LAGOAS BRAZIL",,"HOST AGENCY LLC
365 CANAL STREET, SUITE 2500 NEW ORLEANS LA 70130, 504-469-0731",CINT - Cargill International S A,Brazil,"Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,RHODOS,1,,, ,4005000.0,4005.0,4005 ET,1802000.0,Classified: 7201.10,"4, 005 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE035_R251214,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
CINT3985MORRIO03,2024-10-23,Host Agency,,8748,Sidermin Siderurgica Mineira Limiteda,"SIDERMIN SIDERURGICA MINEIRA LTD
RODOVIA BR 040 KM 477
CEP 35 701 970 SETE LAGOAS MG
BRASIL
TE03121064000",,"HOST AGENCY LLC
365 CANAL STREET, SUITE 2500 NEW ORLEANS LA 70130, 504-469-0731",CINT - Cargill International S A,Brazil,"Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,RHODOS,1,,, ,3983000.0,3983.0,3983 ET,1792000.0,Classified: 7201.10,"3, 983 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE035_R251215,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
CINT3985MORRIO02,2024-10-23,Host Agency,,8748,Multifer Siderurgia Limited,"MULTIFER SIDERURGIA LTDA
ROD BR 040 KM 472 BAIRRO
UNIVERSITARIO CEP 35702-372 SETE
CEP 35700-971 SETE LAGOAS MG BRASIL",,"HOST AGENCY LLC
365 CANAL STREET, SUITE 2500 NEW ORLEANS LA 70130, 504-469-0731",CINT - Cargill International S A,Brazil,"Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,RHODOS,1,,, ,6016000.0,6016.0,6016 ET,2707000.0,Classified: 7201.10,"6, 016 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE035_R251216,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
CINT3985MORRIO01,2024-10-23,Host Agency,,8748,Citygusa Siderurgia Limiteda,"CITYGUSA SIDERURGIA LTDA
ESTRADA JOSE LEANDRO RIBERIO
SN BAIRRO VARZE ALEGRE
PEDRO LEOPOLDO MG
TE03136631700",3312,"HOST AGENCY LLC
365 CANAL STREET, SUITE 2500 NEW ORLEANS LA 70130, 504-469-0731",CINT - Cargill International S A,Brazil,"Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,RHODOS,1,,, ,2001000.0,2001.0,2001 ET,900000.0,Classified: 7201.10,"2, 001 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE035_R251217,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
MCKRHV24026002,2024-10-24,Rw Smith,,,,,,"R.W. SMITH & CO., INC.
3030 GREENS ROAD, HOUSTON, TX 77032, ATT: MATTHEW WEST TEL: 281-590-5959",MCKR - Mckeil Marine Limited,Canada,"Marinette, Wisconsin","Marinette, Wisconsin","Sorel, Que, Canada",Canada,SOREL,HARVEST SPIRIT,24026,,, CM,5535000.0,5535.0,5535000 KG,2679000.0,Classified: 7201.10,"IN BULK, SORELMETAL (PIG IRON), GRADE TF-10",PANV_IMP_FILE022_R173336,1,DBK,72,7201,720110,General Cargo,MCKR,DBK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,3702,Detroit-Milwaukee,Great Lakes,Great Lakes
MCKRHV24026002,2024-10-24,Rw Smith,,,,,,"R.W. SMITH & CO., INC.
3030 GREENS ROAD, HOUSTON, TX 77032, ATT: MATTHEW WEST TEL: 281-590-5959",MCKR - Mckeil Marine Limited,Canada,"Marinette, Wisconsin","Marinette, Wisconsin","Sorel, Que, Canada",Canada,SOREL,HARVEST SPIRIT,24026,,, CM,5535000.0,5535.0,5535000 KG,2679000.0,Classified: 7201.10,"IN BULK, SORELMETAL (PIG IRON), GRADE TF-10",PANV_IMP_FILE035_R250991,1,DBK,72,7201,720110,General Cargo,MCKR,DBK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,3702,Detroit-Milwaukee,Great Lakes,Great Lakes
OFCWPRAMIS433601,2024-10-25,Tms International LLC,,,Duferco Sa,"DUFERCO S.A.
Via Bagutti 9
Lugano
Ticino
6900
Switzerland","5051, 5052, 5072, 5171, 5172","TMS INTERNATIONAL LLC
2835 EAST CARSON STREET, PITTSBURGH, PA 15203",OFCW - Oldendorff Carriers,Switzerland,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Victoria, Brazil",Brazil,BRAZIL,QING FENG LING,04336,9663702,, ,20691000.0,20691.0,20691 ET,9311000.0,Classified: 7201.10,A QUANTITY OF BASIC PIG IRON,PANV_IMP_FILE022_R172551,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,Bulk Carrier-Large Handy,34472,0,28.85,14.6,22494,11767,45538,47.4,9.83,2002,New Orleans,Gulf,Gulf East
OFCWPRAMIS433602,2024-10-25,Tms International LLC,,,Duferco Sa,"DUFERCO S.A.
Via Bagutti 9
Lugano
Ticino
6900
Switzerland","5051, 5052, 5072, 5171, 5172","TMS INTERNATIONAL LLC
2835 EAST CARSON STREET, PITTSBURGH, PA 15203",OFCW - Oldendorff Carriers,Switzerland,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Victoria, Brazil",Brazil,BRAZIL,QING FENG LING,04336,9663702,, ,11979000.0,11979.0,11979 ET,5391000.0,Classified: 7201.10,A QUANTITY OF BASIC PIG IRON,PANV_IMP_FILE022_R172552,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,Bulk Carrier-Large Handy,34472,0,28.85,14.6,22494,11767,45538,47.4,9.83,2002,New Orleans,Gulf,Gulf East
OFCWPRAMIS433601,2024-10-25,Tms International LLC,,,Duferco Sa,"DUFERCO S.A.
Via Bagutti 9
Lugano
Ticino
6900
Switzerland","5051, 5052, 5072, 5171, 5172","TMS INTERNATIONAL LLC
2835 EAST CARSON STREET, PITTSBURGH, PA 15203",OFCW - Oldendorff Carriers,Switzerland,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Victoria, Brazil",Brazil,BRAZIL,QING FENG LING,04336,9663702,, ,20691000.0,20691.0,20691 ET,9311000.0,Classified: 7201.10,A QUANTITY OF BASIC PIG IRON,PANV_IMP_FILE126_R972475,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,Bulk Carrier-Large Handy,34472,0,28.85,14.6,22494,11767,45538,47.4,9.83,2002,New Orleans,Gulf,Gulf East
OFCWPRAMIS433602,2024-10-25,Tms International LLC,,,Duferco Sa,"DUFERCO S.A.
Via Bagutti 9
Lugano
Ticino
6900
Switzerland","5051, 5052, 5072, 5171, 5172","TMS INTERNATIONAL LLC
2835 EAST CARSON STREET, PITTSBURGH, PA 15203",OFCW - Oldendorff Carriers,Switzerland,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Victoria, Brazil",Brazil,BRAZIL,QING FENG LING,04336,9663702,, ,11979000.0,11979.0,11979 ET,5391000.0,Classified: 7201.10,A QUANTITY OF BASIC PIG IRON,PANV_IMP_FILE126_R972476,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,Bulk Carrier-Large Handy,34472,0,28.85,14.6,22494,11767,45538,47.4,9.83,2002,New Orleans,Gulf,Gulf East
MCKRHV24026001,2024-10-26,Rw Smith,,,,,,"R.W. SMITH & CO., INC.
3030 GREENS ROAD, HOUSTON, TX 77032, ATT: MATTHEW WEST TEL: 281-590-5959",MCKR - Mckeil Marine Limited,Canada,"Illinois International Port District, Chicago, Illinois","Illinois International Port District, Chicago, Illinois","Sorel, Que, Canada",Canada,SOREL,HARVEST SPIRIT,24026,,, CM,3505000.0,3505.0,3505000 KG,1696000.0,Classified: 7201.10,"IN BULK, SORELMETAL (PIG IRON), GRADE TF-10",PANV_IMP_FILE022_R172458,1,DBK,72,7201,720110,General Cargo,MCKR,DBK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,3801,Great Lakes,Great Lakes,Great Lakes
MCKRHV24026001,2024-10-26,Rw Smith,,,,,,"R.W. SMITH & CO., INC.
3030 GREENS ROAD, HOUSTON, TX 77032, ATT: MATTHEW WEST TEL: 281-590-5959",MCKR - Mckeil Marine Limited,Canada,"Illinois International Port District, Chicago, Illinois","Illinois International Port District, Chicago, Illinois","Sorel, Que, Canada",Canada,SOREL,HARVEST SPIRIT,24026,,, CM,3505000.0,3505.0,3505000 KG,1696000.0,Classified: 7201.10,"IN BULK, SORELMETAL (PIG IRON), GRADE TF-10",PANV_IMP_FILE126_R972331,1,DBK,72,7201,720110,General Cargo,MCKR,DBK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,3801,Great Lakes,Great Lakes,Great Lakes
OFCWITAMOB379001,2024-10-27,Ing Bank N.V. Amsterdam Geneva Br Switzerland,"TO THE ORDER OF ING BANK N.V.
AMSTERDAM, GENEVA BR, SWITZERLAND
C/O 1945 AIRPORT ROAD
COLUMBUS, MS 39703",,Duferco Sa,"DUFERCO S.A.
Via Bagutti 9
Lugano
Ticino
6900
Switzerland","5051, 5052, 5072, 5171, 5172","STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD, P.O. BOX 467, COLUMBUS, MS 39703",OFCW - Oldendorff Carriers,Switzerland,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Itaqui, Brazil",Brazil,BRAZIL,EY HAYDN,03790,,, ,52400000.0,52400.0,52400 ET,23580000.0,Classified: 7201.10,A QUANTITY OF BASIC PIG IRON,PANV_IMP_FILE022_R171921,1,BLK,72,7201,720110,,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,Mobile,Gulf,Gulf East
OFCWITAMOB379001,2024-10-27,Ing Bank N.V. Amsterdam Geneva Br Switzerland,"TO THE ORDER OF ING BANK N.V.
AMSTERDAM, GENEVA BR, SWITZERLAND
C/O 1945 AIRPORT ROAD
COLUMBUS, MS 39703",,Duferco Sa,"DUFERCO S.A.
Via Bagutti 9
Lugano
Ticino
6900
Switzerland","5051, 5052, 5072, 5171, 5172","STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD, P.O. BOX 467, COLUMBUS, MS 39703",OFCW - Oldendorff Carriers,Switzerland,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Itaqui, Brazil",Brazil,BRAZIL,EY HAYDN,03790,,, ,52400000.0,52400.0,52400 ET,23580000.0,Classified: 7201.10,A QUANTITY OF BASIC PIG IRON,PANV_IMP_FILE126_R971111,1,BLK,72,7201,720110,,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,Mobile,Gulf,Gulf East
MACY243119KR405,2024-10-30,Rw Smith,,,,,,"R.W. SMITH & CO., INC.
201EVANS ROAD SUITE 310, NEW ORLEANS, LA 70123, ATTN: NIGEL LUNSFORD, TEL: 281-590-5959",MACY - Macs Maritime Carrier Shipping Pte. Ltd.,South Africa,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Richard's Bay, South Africa",South Africa,RICHARDS BAY,CERES ONE,43119,9698434,, ,5600000.0,5600.0,5600000 K,2604000.0,Parsed: 7201.10.00.00,"SORELMETAL (PIG IRON) GRADE RF10 IN BULK HARMONIZED TARIFF NO: 7201. 10. 00. 00 NLUNSFORD@RWSMITH. COM FREIGHT PAYABLE AS PER BOOKING DATED 20-08-2024 TERMS AND CONDITIONS OF THE BOOKING ARE FULLY INCORPORATED SAID TO BE SAID TO WEIGH FIOS SHIPPED EX OPEN STOCKPILE CARGO NOT DEEMED WEATHER SENSITIVE CARRIER NOT LIABLE FOR WEIGHT DISCREPANCIES DUE WATER CONTENT QUALITY - QUANTITY UNKNOWN DISCHARGE: NEW ORLEANS, ASSOCIATED TERMINALS",PANV_IMP_FILE126_R968874,1,PCS,72,7201,720110,Bulk Carrier,MACY,PCS,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,Bulk Carrier-Large Handy,37913,175.541,30.039,15.2,23689,12725,50196,46,10.62,2002,New Orleans,Gulf,Gulf East
CEHBVRWH5T145201,2024-10-30,Host Agency,,,,,,"HOST AGENCY LLC
215 EAST BAY ST, STE 201-M, CHARLESTON, SC 29403",CEHB - Cosmotrade Exports Sa,Ukraine,"The Port of Charleston, Charleston, South Carolina","The Port of Charleston, Charleston, South Carolina","Juzhny, Ukraine",Ukraine,ODESSA,SEA HUNTER,T1452,,, ,42842032.0,42842.03,42842030 KG,19365000.0,Classified: 7201.10,CONVERSION PIG IRON,PANV_IMP_FILE126_R968721,1,BLK,72,7201,720110,Bulk Carrier,CEHB,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,1601,South Carolina Ports,East,South Atlantic
CEHBVRWH5T145202,2024-10-30,Host Agency,,,,,,"HOST AGENCY LLC
215 EAST BAY ST, STE 201-M, CHARLESTON, SC 29403",CEHB - Cosmotrade Exports Sa,Ukraine,"The Port of Charleston, Charleston, South Carolina","The Port of Charleston, Charleston, South Carolina","Juzhny, Ukraine",Ukraine,ODESSA,SEA HUNTER,T1452,,, ,7514920.0,7514.92,7514920 KG,3397000.0,Classified: 7201.10,CONVERSION PIG IRON,PANV_IMP_FILE126_R968722,1,BLK,72,7201,720110,Bulk Carrier,CEHB,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,1601,South Carolina Ports,East,South Atlantic
