Source,Target,Relationship_Type,Shipments,Tons
Adcom World Wide,Bc Service Inc.,Shipper→Consignee,1,0.55
"Mms Ship Management India Pvt., Ltd.",Unichem,Shipper→Consignee,1,0.55
Celebrity Cruises Ltd.,"JENSEN GmbH
Joern-Jensen-Strasse 1, Harsum, DE-31177, Germany",Consignee→NotifyParty,3,0.55
Braid Tecnolog A Y Fabricaci N S.A.,"TEAM ILLUMINATA MOTORSPORT
1542  WASHINGTON BLVD, BIRMINGHAM MI48009 USDICK FORD

;

TEAM ILLUMINATA MOTORSPORT
1542  WASHINGTON BLVD, BIRMINGHAM MI48009 USDICK FORD TE+12482070894",Shipper→NotifyParty,1,0.55
Logan Industries (Hadco),"GAC NORTH AMERICA - AMS
2 INTERNATIONAL PLAZA, SUITE 600, PHILADELPHIA PA19113 US",Consignee→NotifyParty,1,0.55
Mt Lng Ships Athena,"RILEY SHERMAN SHIPPING AGY INC
319 IBIS STREET SUITE E, WEBSTER, TX 77598",Shipper→NotifyParty,3,0.55
Unichem,"GMB MARINE SHIPPING AGENCY INC
1215 CEDARPOST TREE-SPRINGS HOUSTON, TX 77055 (T)346 570 0345, OPERATIONS@GMBMARINEAGENCY.COM",Consignee→NotifyParty,1,0.55
Nirvana Explorer,Fire Protection Service,Shipper→Consignee,1,0.55
Louis Deliganis Port Cargo & Logist,"PARK WEST GALLERY
1600 NE 59TH AVE, MIAMI LAKES FL33014 US TE305 817 6400",Consignee→NotifyParty,4,0.55
Hyde Agencies Ltd.,Tabony Industries Ltd.,Shipper→Consignee,1,0.55
Focal Jmlab,South American Sales Llc,Shipper→Consignee,1,0.55
Epiroc Australia (Pty) ) Ltd.,Epiroc,Shipper→Consignee,3,0.55
Simone Acc. Collection Ltd.,Ralph Lauren Canada Lp,Shipper→Consignee,2,0.55
Magic Mountian Parkway,Park West Gallery,Shipper→Consignee,4,0.55
Belo Velvets Bv,Black Diamond Equipment Ltd.,Shipper→Consignee,1,0.55
Waugh Construction (Bahamas) Ltd.,Five Star Shipping,Shipper→Consignee,3,0.55
Magic Mountian Parkway,Wilhelmsem Ship Servic,Shipper→Consignee,4,0.55
Magic Mountian Parkway,Scan Global Logistics,Shipper→Consignee,2,0.55
Msc Meraviglia,Rws Global,Shipper→Consignee,1,0.55
Crystal Cruises Ltd.,Wilhelmsen Ships Service Miami,Shipper→Consignee,1,0.55
Seapeak Marib,Drew Marine,Shipper→Consignee,2,0.55
Braid Tecnolog A Y Fabricaci N S.A.,Team Illuminata Motorsport,Shipper→Consignee,1,0.55
"Mms Ship Management India Pvt., Ltd.","GMB MARINE SHIPPING AGENCY INC
1215 CEDARPOST TREE-SPRINGS HOUSTON, TX 77055 (T)346 570 0345, OPERATIONS@GMBMARINEAGENCY.COM",Shipper→NotifyParty,1,0.55
Celebrity Cruises Ltd.,"D2 MARINE SOLUTION
6791 NW 17TH AVE, FORT LAUDERDALE FL33309 US",Shipper→NotifyParty,11,0.55
Holloway Houston Inc.,"GAC NORTH AMERICA - AMS
2 INTERNATIONAL PLAZA, SUITE 600, PHILADELPHIA PA19113 US",Consignee→NotifyParty,2,0.5499999999999999
Krey Schiffahrts Gmb H And Co Kg,"KREY SCHIFFAHRTS GMBH AND CO KG
C/O LEEWARD AGENCY INC, 11550 FUQUA ST SUITE 220, HOUSTON TX 77034",Consignee→NotifyParty,2,0.54
M V Maran Gas Chios V 058 L,"NORTON LILLY INTERNATIONAL
MAI CENTER, SUITE 201,, 771 FIRST STREET, SAN JUANPR 00920, TE(+1) 787-706-0706",Shipper→NotifyParty,2,0.54
Msc Printing [Pty] Ltd.,"MSC BAHAMAS LTD
24 LOGWOOD ROAD, FREEPORT, GRAND BAHAMA    BAHAMAS",Shipper→NotifyParty,1,0.54
Epson Mexico S.A De C.V,Epson Argentina Uruguay Sa,Shipper→Consignee,2,0.54
Baker Hughes De Colombia,"PII NORTH AMERICA LLC
7105 BUSINESS PARK DRIVE, HOUSTON TX77041 USJOSE PLATA TE12816601863",Shipper→NotifyParty,1,0.54
M V Radiance Ots,Hempel Coatings Usa Inc.,Shipper→Consignee,1,0.54
Ncl (Bahamas Ltd.),Wilhelmsen Ship Services Unitor,Shipper→Consignee,2,0.54
Norton Lilly International,"NORTON LILLY INTERNATIONAL
2417 MARINERS SQUARE LOOP SUITE 145, ALAMEDA CA 94501",Consignee→NotifyParty,2,0.54
Silver Nova,"ALPHAONE USA LLC
1650 NW 33RD STREET POMPANO BEACH, FL 33064 USA",Shipper→NotifyParty,4,0.54
Royal Caribbean Cruise,"IGT RENO
9295 PROTOTYPE DRIVE, RENO NV89521 US",Consignee→NotifyParty,1,0.54
Whilhemsen Ship Services,"WILHELMSEN SHIPS SERVICE INC
9400 NEW CENTURY DRIVE, PASADENA, TX 77507",Consignee→NotifyParty,2,0.54
Todol Products Inc.,"TODOL PRODUCTS
25 WASHINGTON AVE, NATICK MA01760 US",Consignee→NotifyParty,1,0.54
Celebrity Cruises Ltd.,"US SHIP SUPPLY CORP.
1341 SW 21ST TERRACE, FT LAUDERDALE FL33312 US",Shipper→NotifyParty,1,0.54
Wartsila Service Switzerland,"NORTON LILLY INTERNATIONAL
550 FANNIN STREET, SUITE 1240, BEAUMONTTX NLIBEAU, UNITED STATES",Consignee→NotifyParty,1,0.54
Royal Caribbean Cruise,"IGT RENO
9295 PROTOTYPE DRIVE, RENO NV89521 US",Shipper→NotifyParty,1,0.54
C Baha,"MSC BAHAMAS LTD
24 LOGWOOD ROAD, FREEPORT, GRAND BAHAMA    BAHAMAS",Consignee→NotifyParty,1,0.54
Prelude,"NORTON LILLY INTERNATIONAL
2417 MARINERS SQUARE LOOP SUITE 145, ALAMEDA CA 94501",Shipper→NotifyParty,2,0.54
Wdi Lighthouse Point,"DCL ISLAND DEVELOPMENT, LTD.
LIGHTHOUSE POINT, ELEUTHERA BS",Shipper→NotifyParty,1,0.54
Hagopur Ag,"TODOL PRODUCTS
25 WASHINGTON AVE, NATICK MA01760 US",Shipper→NotifyParty,1,0.54
Turbo Systems The Netherlands B.V.,"GALENE LOGISTICS
15721 W HARDY RD; STE 1, HOUSTON, TEXAS 77060",Consignee→NotifyParty,2,0.54
Unitor Wilhelmsen,"CASCADE MARINE AGENCIES
7700 NE GREENWOOD DR, SUITE 240, VANCOUVER, WA 98662   US",Consignee→NotifyParty,1,0.54
Black Wolf,"DCL ISLAND DEVELOPMENT, LTD.
LIGHTHOUSE POINT, ELEUTHERA BS",Consignee→NotifyParty,1,0.54
Denver,"GAC NORTH AMERICA - AMS
2 INTERNATIONAL PLAZA, SUITE 600, PHILADELPHIA PA19113 US",Shipper→NotifyParty,10,0.54
Celebrity Cruises Ltd.,"CRUISING WITH FRIENDS - GROUP
N555 JENNIE LANE, OGUEMA WI54459 US",Shipper→NotifyParty,1,0.54
Celebrity Cruises Ltd.,"CELEBRITY CRUISES LTD. {OFFICE}
1050 CARIBBEAN WAY, MIAMI FL33132 US",Shipper→NotifyParty,12,0.54
Yasa,"GAC NORTH AMERICA - AMS
2 INTERNATIONAL PLAZA, SUITE 600, PHILADELPHIA PA19113 US",Shipper→NotifyParty,1,0.54
PMI Trading,"PII NORTH AMERICA LLC
7105 BUSINESS PARK DRIVE, HOUSTON TX77041 USJOSE PLATA TE12816601863",Consignee→NotifyParty,1,0.54
Paragon,"CASCADE MARINE AGENCIES
7700 NE GREENWOOD DR, SUITE 240, VANCOUVER, WA 98662   US",Shipper→NotifyParty,1,0.54
Cruising With Friends Group,"CRUISING WITH FRIENDS - GROUP
N555 JENNIE LANE, OGUEMA WI54459 US",Consignee→NotifyParty,1,0.54
Kangroos Wholesale,Smart Buy,Shipper→Consignee,4,0.54
M T Sea Santiago,"GALENE LOGISTICS
15721 W HARDY RD; STE 1, HOUSTON, TEXAS 77060",Shipper→NotifyParty,2,0.54
Alphaprix,"LE MARCHE FRANCAIS LIMITED
262 THORNDON QUAY, PIPITEA, WELLINGTON NZ EMCHEESE@LEMARCHE.CO.NZ",Shipper→NotifyParty,2,0.54
Flemings Transport Inc.,Jaca & Sierra Testing Laboratories,Shipper→Consignee,2,0.54
Ncl (Bahamas Ltd.),B S Foodservice Bv,Shipper→Consignee,1,0.54
Saintnals Llc,Nestor Reyes Inc.,Shipper→Consignee,1,0.54
Moran Shipping Agencies Inc.,"UNITOR
UNITOR",Consignee→NotifyParty,1,0.54
Celebrity Cruises Ltd.,"CELEBRITY CRUISES LTD. {OFFICE}
1050 CARIBBEAN WAY, MIAMI FL33132 US",Consignee→NotifyParty,12,0.54
Prelude,Norton Lilly International,Shipper→Consignee,2,0.54
M V Rioja Knutsen V. 0518,"NORTON LILLY INTERNATIONAL
550 FANNIN STREET, SUITE 1240, BEAUMONT,TX  77701  UNITED STATES, BEAUMONT             TX77701     US",Shipper→NotifyParty,2,0.54
Carlos Cervando Gonzalez,Carlos Morell Rodriguez Dba Cm Outl,Shipper→Consignee,2,0.54
M V Bw Brussels V 36,Wartsila Service Switzerland,Shipper→Consignee,1,0.54
Celebrity Cruises Ltd.,Cruising With Friends Group,Shipper→Consignee,1,0.54
Wideshine Managment Ptd Ltd.,Marinetrans Usa Llc,Shipper→Consignee,3,0.54
Master Kimolos,Moran Shipping Agencies Inc.,Shipper→Consignee,1,0.54
Master Kimolos,"UNITOR
UNITOR",Shipper→NotifyParty,1,0.54
Celebrity Cruises Ltd.,"US SHIP SUPPLY CORP.
1341 SW 21ST TERRACE, FT LAUDERDALE FL33312 US",Consignee→NotifyParty,1,0.54
Epson Argentina Uruguay Sa,"EPSON ARGENTINA/URUGUAY SA
RINCON 487 FLOOR 2, DEPOSITO ZONA FRANCO COLONIA, MONTEVIDEO UY",Consignee→NotifyParty,2,0.54
Krey Schiffahrts Gmb H,"KREY SCHIFFAHRTS GMBH AND CO KG
C/O LEEWARD AGENCY INC, 11550 FUQUA ST SUITE 220, HOUSTON TX 77034",Shipper→NotifyParty,2,0.54
Yasa,Whilhemsen Ship Services,Shipper→Consignee,1,0.54
Krey Schiffahrts Gmb H,Krey Schiffahrts Gmb H And Co Kg,Shipper→Consignee,2,0.54
Shanghai Chung Hang Imp. & Exp. Co.,Applied Membranes Inc.,Shipper→Consignee,2,0.54
Msc Printing [Pty] Ltd.,C Baha,Shipper→Consignee,1,0.54
Mt Eagle Tampa,"WILHELMSEN SHIPS SERVICE INC
9400 NEW CENTURY DRIVE, PASADENA, TX 77507",Shipper→NotifyParty,2,0.54
Water Spirit Freight Services,Quality Foods Vi Stx,Shipper→Consignee,2,0.54
Valmet Technologies,Valmet Inc. 56 150840017,Shipper→Consignee,1,0.54
Oceania Cruise Lines,Alphaone,Shipper→Consignee,3,0.54
Lanckriet,00 Nova Tech Engineering Llc,Shipper→Consignee,1,0.54
Barcelona Spirit,Teho International,Shipper→Consignee,2,0.54
M T Sea Santiago,Turbo Systems The Netherlands B.V.,Shipper→Consignee,2,0.54
Alphaprix,Le Marche Francais Ltd.,Shipper→Consignee,2,0.54
Margaritaville At Sea Paradisemar,Margaritaville At Sea Paradise,Shipper→Consignee,1,0.54
Paragon,Unitor Wilhelmsen,Shipper→Consignee,1,0.54
Universal Concrete Llc,Gtc Mfg. Inc.,Shipper→Consignee,2,0.54
Grands Vins De France,Chefs Pantry,Shipper→Consignee,2,0.54
Trans Pac Inc.,"TRANS PAC INC
CARE OF BOYANG ALASKA 130 NICKERSON, ST SUITE 313 SEATTLE WA 98109 USA",Consignee→NotifyParty,2,0.54
Epson Mexico S.A De C.V,"EPSON ARGENTINA/URUGUAY SA
RINCON 487 FLOOR 2, DEPOSITO ZONA FRANCO COLONIA, MONTEVIDEO UY",Shipper→NotifyParty,2,0.54
Liberty Wireless,Liberty Mobile Pr,Shipper→Consignee,2,0.54
Baker Hughes De Colombia,PMI Trading,Shipper→Consignee,1,0.54
Royal Caribbean Cruise,"SURVITEC SAFETY SOLUTIONS US - TEXA
290 BELTWAY GREEN BLVD  SUITE 400, PASADENA TX77503 US",Shipper→NotifyParty,9,0.53
Royal Caribbean Cruise,"AEROBIOLOGY LABORATORY ASSOCIATES -
5253 B NORTHWEST 33RD AVENUE, FT. LAUDERDALE FL33309 US",Shipper→NotifyParty,49,0.53
Bizerba Engineered Solutions (Bes),"BIZERBA ENGINEERED SOLUTIONS
5600 EASTPORT BLVD, RICHMOND VA23231 US",Consignee→NotifyParty,1,0.53
Silver Dawn,"VIKING LIFE SAVING EQUIPMENT
1400, NW 159 Street, Suite 101, Miami, Florida, 33169, United States",Shipper→NotifyParty,1,0.53
Royal Caribbean Cruise,"SURVITEC SAFETY SOLUTIONS US - TEXA
290 BELTWAY GREEN BLVD  SUITE 400, PASADENA TX77503 US",Consignee→NotifyParty,9,0.53
Boilertechnica G Xenaki Kolykia,"RILEY SHERMAN SHIPPING AGY INC
319 IBIS STREET SUITE E, WEBSTER, TX 77598",Consignee→NotifyParty,2,0.53
Mt Gaschem Pacific,"RILEY SHERMAN SHIPPING AGY INC
319 IBIS STREET SUITE E, WEBSTER, TX 77598",Shipper→NotifyParty,2,0.53
Royal Caribbean Cruise,"TAW MIAMI SERVICE CENTER
9930 NW 89TH AVENUE, MIAMI FL33178 US",Shipper→NotifyParty,1,0.53
Royal Caribbean Cruise,"TAW MIAMI SERVICE CENTER
9930 NW 89TH AVENUE, MIAMI FL33178 US",Consignee→NotifyParty,1,0.53
Royal Caribbean Cruise,"AEROBIOLOGY LABORATORY ASSOCIATES -
5253 B NORTHWEST 33RD AVENUE, FT. LAUDERDALE FL33309 US",Consignee→NotifyParty,49,0.53
Silver Shadow,"INTERCRUISES PORT OPERATIONS USA
80 SW 8TH ST SUITE 1800 MIAMI FL, 33130 3013",Shipper→NotifyParty,2,0.53
Navi Prominence,"FILLETTE, GREEN SHIPPING
5225 KATY FREEWAY, SUITE 690, HOUSTON, TX 77007, 713-453-5895  FAX: 713-453-7658",Shipper→NotifyParty,3,0.53
Mt Gaschem Pacific,Boilertechnica G Xenaki Kolykia,Shipper→Consignee,2,0.53
Carnival Cruise Lines,Port Of Galveston,Shipper→Consignee,1,0.53
Dokka Fasteners As,Vestas American Wind,Shipper→Consignee,1,0.53
M V Saga Pioneer V 55,New Jersey Electric Motors Inc.,Shipper→Consignee,1,0.53
(Vietnam) Sanjun Material Technolog,Jabil Circuit,Shipper→Consignee,1,0.53
Surface Tech International Phils Inc.,Vision Metering Llc,Shipper→Consignee,1,0.53
Adcom World Wide,Enchanted Princess,Shipper→Consignee,7,0.53
Whilhemsen Ship Services,"INTERCRUISES PORT OPERATIONS USA
80 SW 8TH ST SUITE 1800 MIAMI FL, 33130 3013",Consignee→NotifyParty,2,0.53
Springfix Befestigungstechnik Gmb H,Grammer Inc.,Shipper→Consignee,4,0.53
Carnival Cruise Lines,Long Beach Cruise Terminal,Shipper→Consignee,1,0.53
New Jersey Electric Motors Inc.,"INCHCAPE SHIPPING SERVICES
2570 SOUTH BROADWAY, PIER 5, BROWN BUILDING, 2ND FLOOR, CAMDENNJ 08104, TEUS",Consignee→NotifyParty,1,0.53
The Drh Collection Ltd.,Spunglo Nz Ltd.,Shipper→Consignee,1,0.53
Silver Dawn,Viking Life Saving Equipment Inc.,Shipper→Consignee,1,0.53
M V Saga Pioneer V 55,"INCHCAPE SHIPPING SERVICES
2570 SOUTH BROADWAY, PIER 5, BROWN BUILDING, 2ND FLOOR, CAMDENNJ 08104, TEUS",Shipper→NotifyParty,1,0.53
Bizerba Se & Co.Kg,"BIZERBA ENGINEERED SOLUTIONS
5600 EASTPORT BLVD, RICHMOND VA23231 US",Shipper→NotifyParty,1,0.53
Transformator Teknik Ab,"PACKSIZE LLC
2671 TECHNOLOGY DR, LOUISVILLE KY40299 US",Shipper→NotifyParty,2,0.52
Msc Seascape,"MSC OPERA
6750 N. ANDREWS AVE #100, FT LAUDERDALE, FL 32966 US",Shipper→NotifyParty,1,0.52
Ncl (Bahamas Ltd.),Man Energy Solutions Se,Shipper→Consignee,6,0.52
Transformator Teknik Ab,Packsize Llc,Shipper→Consignee,2,0.52
Msc Seashore,Wartsila Italia Sp A,Shipper→Consignee,3,0.52
M V Diamond Gas Metropolis V. 003 B,Turbo Systems Usa Inc.,Shipper→Consignee,2,0.52
Pro Expert,Asia Garden,Shipper→Consignee,2,0.52
Inchcape Shipping Services,24 7 Ship Spares Inc.,Shipper→Consignee,4,0.52
Angar Exp. Sa De Cv,Asi Brands Ltd.,Shipper→Consignee,1,0.52
Brother Trading,Caribbean Trading,Shipper→Consignee,4,0.52
Tidewater Mexico,Tideater Marine Llc,Shipper→Consignee,1,0.52
M V Robin 2 V04 N,"GULF SUNRISE AGENCY, LLC C/O/O
RING MARITIME SERVICES, 216 W. POWHATON AVE, ESSINGTONPA 19029, TE(713)921-3550",Shipper→NotifyParty,3,0.52
Zupt Llc.,"CENTRAL DISPATCH INC
1700 FOURTH STREET, HARVEY,LA. 70058",Consignee→NotifyParty,4,0.52
Baker Hughes Trinidad Ltd.,"CRANE WORLDWIDE LOGISTICS LLC (USA)
16680 CENTRAL GREEN BLVD, HOUSTON TX77032 US",Shipper→NotifyParty,1,0.52
Msc Seascape,Msc Opera,Shipper→Consignee,1,0.52
Mt Eagle Kinabalu,Whilhemsen Ship Services,Shipper→Consignee,6,0.52
J Frankemberg C Por A,Prime Trading Llc.,Shipper→Consignee,2,0.52
Mt Ionic Aspis,Direct Delivery Logistics & Supply,Shipper→Consignee,2,0.52
Carnival Cruise Lines,Viking Life Saving Equipment,Shipper→Consignee,8,0.52
Regent Seven Seas Cruises,Turbo Systems Us. Inc.,Shipper→Consignee,1,0.52
Wartsila Deutschland Gmb H,24 7 Ship Spares Inc.,Shipper→Consignee,4,0.52
Baker Hughes Trinidad Ltd.,Itq Gom Operation,Shipper→Consignee,1,0.52
Mpr Brain,Bebella Inc. Dba Beauty Creations Ll,Shipper→Consignee,1,0.52
Pacific Jade,Whilhemsen Ship Services,Shipper→Consignee,1,0.52
St. Thomas Radiology,Messer Gas Puerto Rico,Shipper→Consignee,2,0.52
Mpr Brain,"BEBELLA INC DBA BEAUTY CREATIONS LL
8800 SLAUSON AVENUE, PICO RIVERA CA90660 US",Shipper→NotifyParty,1,0.52
Raiffeisen Switzerland Cooperative,"RAIFFEISEN SWITZERLAND COOPERATIVE
THE CIRLE 66,, ZURICH CH-8058 CH",Consignee→NotifyParty,39,0.52
Rias Baixas Knutsen,Turbo System Us Inc.,Shipper→Consignee,1,0.52
Carnival Cruise Lines,Cabla Marine System Usa,Shipper→Consignee,4,0.52
Mt Asopos,"GULF HARBOR SHIPPING LLC
8866 GULF FREEWAY STE 510, HOUSTON, TX 77017",Shipper→NotifyParty,4,0.52
Royal Caribbean Cruise,"VIDELIO-HMS MONTOIR DE BRETAGNE
71 TER RUE HENRI GAUTIER, MONTOIR DE BRETAGNE XX44550 FR",Shipper→NotifyParty,1,0.52
Algoma Shipping Ltd.,"DAVIS SHIP SERVICE
1400 E CLEMENT ST, BALTIMORE, MD 21230 US, TETE4106252672",Shipper→NotifyParty,2,0.52
Royal Caribbean Cruise,"VIDELIO-HMS MONTOIR DE BRETAGNE
71 TER RUE HENRI GAUTIER, MONTOIR DE BRETAGNE XX44550 FR",Consignee→NotifyParty,1,0.52
Bebella Inc. Dba Beauty Creations Ll,"BEBELLA INC DBA BEAUTY CREATIONS LL
8800 SLAUSON AVENUE, PICO RIVERA CA90660 US",Consignee→NotifyParty,1,0.52
Packsize Llc,"PACKSIZE LLC
2671 TECHNOLOGY DR, LOUISVILLE KY40299 US",Consignee→NotifyParty,2,0.52
Direct Delivery Logistics & Supply,"RILEY SHERMAN SHIPPING AGY INC
319 IBIS STREET SUITE E, WEBSTER, TX 77598",Consignee→NotifyParty,2,0.52
Msc Opera,"MSC OPERA
6750 N. ANDREWS AVE #100, FT LAUDERDALE, FL 32966 US",Consignee→NotifyParty,1,0.52
Princess Cruises,"AEROSTREAM
835 S 192ND ST STE 100, SEATTLE WA98148 USBOB VICK",Shipper→NotifyParty,24,0.52
Turbo System Us Inc.,"NORTON LILLY INTERNATIONAL
710 BUFFALO ST., SUITE 201, CORPUS CHRISTI TX78401 US",Consignee→NotifyParty,1,0.52
Aerostream Usa Inc.,"AEROSTREAM
835 S 192ND ST STE 100, SEATTLE WA98148 USBOB VICK",Consignee→NotifyParty,24,0.52
Princess Cruises,"AEROSTREAM SEATTLE
835 S192ND ST C1200, C/O TO MAJESTIC PRINCESS, SEATTLE WA98148 BOB VICK TE2068241576",Shipper→NotifyParty,1,0.52
Drew Marine,"DAVIS SHIP SERVICE
1400 E CLEMENT ST, BALTIMORE, MD 21230 US, TETE4106252672",Consignee→NotifyParty,2,0.52
Itq Gom Operation,"CRANE WORLDWIDE LOGISTICS LLC (USA)
16680 CENTRAL GREEN BLVD, HOUSTON TX77032 US",Consignee→NotifyParty,1,0.52
Aerostream Usa Inc.,"AEROSTREAM SEATTLE
835 S192ND ST C1200, C/O TO MAJESTIC PRINCESS, SEATTLE WA98148 BOB VICK TE2068241576",Consignee→NotifyParty,1,0.52
Seasuccess,Direct Delivery Logistics & Supply,Shipper→Consignee,6,0.51
Carnival Cruise Lines,Gn Solids America Llc,Shipper→Consignee,1,0.51
Royal Caribbean Cruise,Marine Teknik,Shipper→Consignee,2,0.51
Accurate Diecast Ltd.,Model Barn,Shipper→Consignee,1,0.51
Grundfos Colombia Sas,Grundfos Pump Corp.,Shipper→Consignee,1,0.51
Ineos Dolphin V 020,"NORTON LILLY INTERNATIONAL
2900 NORTH LOOP WEST FREEWAY, SUITE 800, HOUSTONTX 77092, TE713-533-5600",Shipper→NotifyParty,1,0.51
"Teklight Components Pvt., Ltd.",Ftc Solar Inc.,Shipper→Consignee,1,0.51
Mt Gaschem Nordsee,Drew Marine Usa Inc.,Shipper→Consignee,1,0.51
M V Global Sea Spirit,Viking Life Saving Equipment (Usa),Shipper→Consignee,2,0.51
Mt Eagle San Antonio,Drew Marine,Shipper→Consignee,5,0.51
Polymx Bv,Csw Inc.,Shipper→Consignee,1,0.51
Msc Seascape,Marine Care,Shipper→Consignee,9,0.51
Vis Hydraulics Srl,Parker Europe Ocean,Shipper→Consignee,1,0.51
Oceania Cruise Lines,Suntxy Llc Dba Poggesi Usa,Shipper→Consignee,1,0.51
"Dershr Co., Ltd.","Yamaha Motor Corporation, Usa",Shipper→Consignee,1,0.51
Carnival Cruise Lines,Entertainment Centergate,Shipper→Consignee,1,0.51
Magic Mountian Parkway,Navalimpianti Usa,Shipper→Consignee,7,0.51
Ineos Dolphin V 020,Deckhouse Ship Supply,Shipper→Consignee,1,0.51
"Yamaha Motor Corporation, Usa","TS-TECH TRI-CON IND LTD
5412 N.W. 44TH STREET, LINCOLN NE68524 USKURTIS HEBLE TE+14024703311",Consignee→NotifyParty,1,0.51
M V Diamond Gas Rose V 25 B,"S5 NORTON LILLY INTERNATIONAL
550 FANNIN STREET, SUITE 120, BEAUMONTTX 77701, TEUS",Shipper→NotifyParty,2,0.51
Ncl (Bahamas Ltd.),Turbo Systems Us Inc.,Shipper→Consignee,1,0.51
Vis Hydraulics Srl,"PARKER EUROPE OCEAN
699 KAPKOWSKI RD, ELIZABETH NJ07201 USMADY PANDELE EMUPSEWRTRANSLOAD@UPS.COM",Shipper→NotifyParty,1,0.51
Ncl (Bahamas Ltd.),Sgs North America Inc.,Shipper→Consignee,11,0.51
Heinz Glas Gmb H & Co. Kgaa Gs#11528,Estee Lauder Companies Inc.,Shipper→Consignee,1,0.51
"Teklight Components Pvt., Ltd.","CEVA LOGISTICS
15355 VICKERY DR, HOUSTON TX77032 US TE+12816474009",Shipper→NotifyParty,1,0.51
Parker Europe Ocean,"PARKER EUROPE OCEAN
699 KAPKOWSKI RD, ELIZABETH NJ07201 USMADY PANDELE EMUPSEWRTRANSLOAD@UPS.COM",Consignee→NotifyParty,1,0.51
Crane World Wide Logistics Lax 2650 Commerce Way Commerce,"EMMERRE DESIGN
VIA MONTE BALDO, 31 CANTU (CO)  IT, CANTU IT22063 ITRAFFAELE MEGLIO TE0039031732526",Consignee→NotifyParty,2,0.51
"Daming Heavy Industries Co., Ltd.","AIR LIQUIDE GLOBAL E&C SOLUTIONS US
9811 KATY FREEWAY, SUITE 100, HOUSTON TX77024 US",Shipper→NotifyParty,1,0.51
Marine Care,"MARINE CARE
2070 TIGERTAIL BLVD, DANIA BEACH, FL 33304 US",Consignee→NotifyParty,9,0.51
Drew Marine Usa Inc.,"RILEY-SHERMAN SHIPPING AGENCY, INC.
319 IBIS STREET  SUITE E   WEBSTER,, TX 77598",Consignee→NotifyParty,1,0.51
"Dershr Co., Ltd.","TS-TECH TRI-CON IND LTD
5412 N.W. 44TH STREET, LINCOLN NE68524 USKURTIS HEBLE TE+14024703311",Shipper→NotifyParty,1,0.51
Ftc Solar Inc.,"CEVA LOGISTICS
15355 VICKERY DR, HOUSTON TX77032 US TE+12816474009",Consignee→NotifyParty,1,0.51
Princess Cruises,"EMMERRE DESIGN
VIA MONTE BALDO, 31 CANTU (CO)  IT, CANTU IT22063 ITRAFFAELE MEGLIO TE0039031732526",Shipper→NotifyParty,2,0.51
Deckhouse Ship Supply,"NORTON LILLY INTERNATIONAL
2900 NORTH LOOP WEST FREEWAY, SUITE 800, HOUSTONTX 77092, TE713-533-5600",Consignee→NotifyParty,1,0.51
"Daming Heavy Industries Co., Ltd.",Air Liquide Global E&C Solution Us,Shipper→Consignee,1,0.51
Princess Cruises,"Dsv Solutions Pte., Ltd. Carnival Pr",Shipper→Consignee,29,0.51
M& J Industries,M&J Usa Inc.,Shipper→Consignee,1,0.51
Msc Seascape,"UNIVERSAL MARINE MEDICAL
UNIVERSAL MARINE MEDICAL LTD -, 27 SYLVATON TER STATEN ISLAND 10305, STATEN ISLAND, NY 10305 US",Shipper→NotifyParty,2,0.51
Epiroc Australia (Pty) ) Ltd.,Epiroc Elko,Shipper→Consignee,2,0.51
Msc Seascape,"MARINE CARE
2070 TIGERTAIL BLVD, DANIA BEACH, FL 33304 US",Shipper→NotifyParty,9,0.51
Princess Cruises,"WILHELMSEN  SHIPS SERVICE
9400 NEW CENTURY DRIVE, PASADENA TX77507 USCINDY FULMER TE1-281-842-3830",Shipper→NotifyParty,1,0.5
Royal Caribbean Cruise,"BOMBSHELL PRODUCTIONS
4030 SW 30TH AVE, FORT LAUDERDALE FL33312",Shipper→NotifyParty,1,0.5
Integrity Eth,"TMT INC
231 GREENS RD HOUSTON TX 77032",Shipper→NotifyParty,1,0.5
A.M. Nomikos Twma S.A.,Whilhemsen Ship Services,Shipper→Consignee,1,0.5
Teco Chemicals As,"GAC NORTH AMERICA - AMS
2 INTERNATIONAL PLAZA, SUITE 600, PHILADELPHIA PA19113 US",Consignee→NotifyParty,4,0.5
Princess Cruises,"WILHELMSEN  SHIPS SERVICE
9400 NEW CENTURY DRIVE, 16000 NW 59TH AVENUE, PASADENA TX77507 USCINDY FULMER TE2818423830",Shipper→NotifyParty,1,0.5
Marinetrans Usa Llc,"TURBO SYSTEMS US INC
1109 HOWARD DRIVE, DEERPARK TX77536 USSOVISAL HUY / ARRUDA",Consignee→NotifyParty,2,0.5
Crane World Wide Logistics,"GOVERNOR CONTROL SYSTEMS, INC.
1720 75TH STREET SW, EVERETT WA98203 USANGELA COLLIER TE425-513-9390",Consignee→NotifyParty,1,0.5
Carnival Cruise Lines,Backbone Electric Mari,Shipper→Consignee,2,0.5
Ncl (Bahamas Ltd.),Sgs Marine Services,Shipper→Consignee,1,0.5
Aerostream Usa Inc.,"WARTSILA CANADA INCOPORATED
19074 22ND AVE. - UNIT 104, SURREY BCV3S 3S6 CAARTHUR DICK TE17782940440",Consignee→NotifyParty,1,0.5
